target_id,type,items,feature_method,confidence_weight,column_start,column_count,source_kind,target,prediction,rmse,max_absolute_residual
marginal:hobbies,marginal,"[""hobbies""]",marginal,1.0,0,2,observed,"[0.3199908774739627, 0.6800091225260373]","[0.3251916090635433, 0.6748083909364566]",0.0052007315895806205,0.005200731589580676
marginal:physical_abilities,marginal,"[""physical_abilities""]",marginal,1.0,2,2,observed,"[0.19070482765971405, 0.8092951723402859]","[0.20439678995837815, 0.795603210041622]",0.013691962298663984,0.013691962298664095
marginal:parenting,marginal,"[""parenting""]",marginal,1.0,4,2,observed,"[0.2876218161953853, 0.7123781838046147]","[0.30000301408758107, 0.6999969859124189]",0.012381197892195802,0.012381197892195828
marginal:feelings,marginal,"[""feelings""]",marginal,1.0,6,2,observed,"[0.10958316743872445, 0.8904168325612756]","[0.18330975751613895, 0.8166902424838609]",0.07372659007741458,0.07372659007741467
marginal:workplace,marginal,"[""workplace""]",marginal,1.0,8,2,observed,"[0.5725168549843521, 0.4274831450156478]","[0.5734401446758618, 0.4265598553241383]",0.0009232896915095934,0.0009232896915096767
marginal:relationship_status,marginal,"[""relationship_status""]",marginal,1.0,10,4,model_synthetic,"[0.49, 0.08333333333333333, 0.09666666666666668, 0.33]","[0.47926274117825524, 0.09880590833905756, 0.10259007707259968, 0.3193412734100872]",0.011218116460312389,0.015472575005724229
marginal:children_at_home,marginal,"[""children_at_home""]",marginal,1.0,14,4,model_synthetic,"[0.6733333333333333, 0.08833333333333333, 0.16666666666666666, 0.07166666666666667]","[0.661562614832378, 0.09308823959940993, 0.16680986960485963, 0.07853927596335294]",0.007218244475880417,0.011770718500955346
marginal:household_income,marginal,"[""household_income""]",marginal,1.0,18,4,model_synthetic,"[0.2966666666666667, 0.2866666666666667, 0.18666666666666668, 0.22999999999999998]","[0.29302007665633123, 0.2860531700468705, 0.19221082186202304, 0.22871593143477542]",0.0033933937922224185,0.005544155195356365
marginal:parenthood_importance,marginal,"[""parenthood_importance""]",marginal,1.0,22,4,model_synthetic,"[0.14333333333333334, 0.16333333333333333, 0.2733333333333334, 0.42]","[0.15028830501316132, 0.16138422924493218, 0.2705363666232711, 0.41779109911863566]",0.004027185856634881,0.006954971679827976
marginal:paid_work_priority,marginal,"[""paid_work_priority""]",marginal,1.0,26,4,model_synthetic,"[0.07, 0.1466666666666667, 0.36999999999999994, 0.41333333333333333]","[0.07928760447787968, 0.16097642579393773, 0.35342821705731253, 0.40630775267086994]",0.012399713472116726,0.016571782942687407
marginal:housework_division,marginal,"[""housework_division""]",marginal,1.0,30,4,model_synthetic,"[0.06666666666666667, 0.49666666666666665, 0.2733333333333334, 0.16333333333333333]","[0.07802065535382269, 0.4826979543568133, 0.27055051970672006, 0.1687308705826443]",0.009498887339337169,0.01396871230985336
