support_id,job_id,weight
1,pew_work_family_detailed_001,0.0002110657524995773
2,pew_work_family_detailed_002,0.00020456322101896016
3,pew_work_family_detailed_003,0.0011139826404401917
4,pew_work_family_detailed_004,0.0006955783291223944
5,pew_work_family_detailed_005,5.553753826921056e-08
6,pew_work_family_detailed_006,0.0004836628561903991
7,pew_work_family_detailed_007,0.001968687214221674
8,pew_work_family_detailed_008,0.002572308130690841
9,pew_work_family_detailed_009,0.0004392565794146093
10,pew_work_family_detailed_010,9.692758310347405e-05
11,pew_work_family_detailed_011,0.0004691816428152442
12,pew_work_family_detailed_012,0.0001937337784168562
13,pew_work_family_detailed_013,7.074277789363344e-08
14,pew_work_family_detailed_014,4.403551600715407e-05
15,pew_work_family_detailed_015,8.764579164569798e-05
16,pew_work_family_detailed_016,0.0003388680499577337
17,pew_work_family_detailed_017,0.00046418230548921443
18,pew_work_family_detailed_018,0.001783890026173061
19,pew_work_family_detailed_019,0.0002135359767568079
20,pew_work_family_detailed_020,0.002766869561999864
21,pew_work_family_detailed_021,0.0016133238575205913
22,pew_work_family_detailed_022,1.2601901458621468e-07
23,pew_work_family_detailed_023,0.0014484311918228977
24,pew_work_family_detailed_024,0.0020916940334896744
25,pew_work_family_detailed_025,0.0017135191530876556
26,pew_work_family_detailed_026,0.0026292469447969664
27,pew_work_family_detailed_027,1.0780330326698488e-07
28,pew_work_family_detailed_028,4.922357078047665e-07
29,pew_work_family_detailed_029,0.00012187255664976902
30,pew_work_family_detailed_030,0.005564171284469964
31,pew_work_family_detailed_031,0.0027248670591572977
32,pew_work_family_detailed_032,0.003900669609972126
33,pew_work_family_detailed_033,0.00013616918297308767
34,pew_work_family_detailed_034,0.0008743196679214978
35,pew_work_family_detailed_035,0.0023604360585452997
36,pew_work_family_detailed_036,0.0016846980042440024
37,pew_work_family_detailed_037,0.00013482042250572218
38,pew_work_family_detailed_038,0.00017898491568835715
39,pew_work_family_detailed_039,0.008514405894837245
40,pew_work_family_detailed_040,0.00010440007469548525
41,pew_work_family_detailed_041,0.0008306210512233931
42,pew_work_family_detailed_042,0.0029190747782987755
43,pew_work_family_detailed_043,1.2260771682002891e-05
44,pew_work_family_detailed_044,0.0012044592297345113
45,pew_work_family_detailed_045,0.005235254993926459
46,pew_work_family_detailed_046,0.00045992616410733784
47,pew_work_family_detailed_047,0.000547775532911794
48,pew_work_family_detailed_048,9.814049494687035e-05
49,pew_work_family_detailed_049,0.015421315366669934
50,pew_work_family_detailed_050,0.001970442767081253
51,pew_work_family_detailed_051,0.004788540411701767
52,pew_work_family_detailed_052,5.755088707695857e-05
53,pew_work_family_detailed_053,5.73444277470788e-05
54,pew_work_family_detailed_054,0.002957674080599184
55,pew_work_family_detailed_055,0.00026528664084975455
56,pew_work_family_detailed_056,5.496494361837731e-05
57,pew_work_family_detailed_057,0.0012573494638065898
58,pew_work_family_detailed_058,3.443473938753992e-07
59,pew_work_family_detailed_059,0.0005705758907774363
60,pew_work_family_detailed_060,0.0005998425023146098
61,pew_work_family_detailed_061,0.0003268440307778152
62,pew_work_family_detailed_062,0.014819410300383383
63,pew_work_family_detailed_063,0.004591168856601209
64,pew_work_family_detailed_064,0.0021431624997188905
65,pew_work_family_detailed_065,0.02217456682025908
66,pew_work_family_detailed_066,0.0001083900559009263
67,pew_work_family_detailed_067,0.0011712880506984295
68,pew_work_family_detailed_068,0.00024600735078624995
69,pew_work_family_detailed_069,1.5414219467225913e-07
70,pew_work_family_detailed_070,3.487229638290101e-08
71,pew_work_family_detailed_071,0.00037952248519082884
72,pew_work_family_detailed_072,0.001021581785278507
73,pew_work_family_detailed_073,0.005187844898080619
74,pew_work_family_detailed_074,2.52126605911045e-05
75,pew_work_family_detailed_075,0.0012675097592243579
76,pew_work_family_detailed_076,1.3724271052422217e-07
77,pew_work_family_detailed_077,8.155138589674515e-05
