tag,holdout,support_id,job_id,weight,rank
pew_w154_diff1_uniform_n208,hobbies,1,pew_w154_diff1_uniform_n96_001,1.5689727961620206e-06,207
pew_w154_diff1_uniform_n208,hobbies,2,pew_w154_diff1_uniform_n96_002,5.8247105531114254e-06,198
pew_w154_diff1_uniform_n208,hobbies,3,pew_w154_diff1_uniform_n96_003,0.005229894945034233,36
pew_w154_diff1_uniform_n208,hobbies,4,pew_w154_diff1_uniform_n96_004,0.0022165402072567837,55
pew_w154_diff1_uniform_n208,hobbies,5,pew_w154_diff1_uniform_n96_005,2.3519128287052574e-05,190
pew_w154_diff1_uniform_n208,hobbies,6,pew_w154_diff1_uniform_n96_006,1.8566066974003188e-05,195
pew_w154_diff1_uniform_n208,hobbies,7,pew_w154_diff1_uniform_n96_007,0.005876110666198252,33
pew_w154_diff1_uniform_n208,hobbies,8,pew_w154_diff1_uniform_n96_008,0.006467374506345997,31
pew_w154_diff1_uniform_n208,hobbies,9,pew_w154_diff1_uniform_n96_009,4.8975946375884774e-05,163
pew_w154_diff1_uniform_n208,hobbies,10,pew_w154_diff1_uniform_n96_010,2.0908219001698602e-05,191
pew_w154_diff1_uniform_n208,hobbies,11,pew_w154_diff1_uniform_n96_011,0.011845459435516072,19
pew_w154_diff1_uniform_n208,hobbies,12,pew_w154_diff1_uniform_n96_012,0.009072381991023516,26
pew_w154_diff1_uniform_n208,hobbies,13,pew_w154_diff1_uniform_n96_013,6.723005400314895e-05,148
pew_w154_diff1_uniform_n208,hobbies,14,pew_w154_diff1_uniform_n96_014,5.896105713232613e-05,157
pew_w154_diff1_uniform_n208,hobbies,15,pew_w154_diff1_uniform_n96_015,0.03936912135266647,7
pew_w154_diff1_uniform_n208,hobbies,16,pew_w154_diff1_uniform_n96_016,0.023936013321599774,11
pew_w154_diff1_uniform_n208,hobbies,17,pew_w154_diff1_uniform_n96_017,1.7099265913367519e-06,206
pew_w154_diff1_uniform_n208,hobbies,18,pew_w154_diff1_uniform_n96_018,4.7971543277654065e-06,200
pew_w154_diff1_uniform_n208,hobbies,19,pew_w154_diff1_uniform_n96_019,0.0067821322005140044,28
pew_w154_diff1_uniform_n208,hobbies,20,pew_w154_diff1_uniform_n96_020,0.0036196444779704423,46
pew_w154_diff1_uniform_n208,hobbies,21,pew_w154_diff1_uniform_n96_021,3.476358207758308e-05,181
pew_w154_diff1_uniform_n208,hobbies,22,pew_w154_diff1_uniform_n96_022,3.460986668594423e-05,182
pew_w154_diff1_uniform_n208,hobbies,23,pew_w154_diff1_uniform_n96_023,0.01051160953190528,20
pew_w154_diff1_uniform_n208,hobbies,24,pew_w154_diff1_uniform_n96_024,0.004868163632414128,40
pew_w154_diff1_uniform_n208,hobbies,25,pew_w154_diff1_uniform_n96_025,7.69354580838821e-05,141
pew_w154_diff1_uniform_n208,hobbies,26,pew_w154_diff1_uniform_n96_026,5.0284411473660146e-05,161
pew_w154_diff1_uniform_n208,hobbies,27,pew_w154_diff1_uniform_n96_027,0.01699884885770966,15
pew_w154_diff1_uniform_n208,hobbies,28,pew_w154_diff1_uniform_n96_028,0.016780966325400447,16
pew_w154_diff1_uniform_n208,hobbies,29,pew_w154_diff1_uniform_n96_029,2.7211329751653694e-05,187
pew_w154_diff1_uniform_n208,hobbies,30,pew_w154_diff1_uniform_n96_030,2.8254094794714712e-05,186
pew_w154_diff1_uniform_n208,hobbies,31,pew_w154_diff1_uniform_n96_031,0.08518297012724309,2
pew_w154_diff1_uniform_n208,hobbies,32,pew_w154_diff1_uniform_n96_032,0.04799178341669071,6
pew_w154_diff1_uniform_n208,hobbies,33,pew_w154_diff1_uniform_n96_033,2.9218024753713358e-06,202
pew_w154_diff1_uniform_n208,hobbies,34,pew_w154_diff1_uniform_n96_034,1.547888643602947e-06,208
pew_w154_diff1_uniform_n208,hobbies,35,pew_w154_diff1_uniform_n96_035,0.005491633103360488,34
pew_w154_diff1_uniform_n208,hobbies,36,pew_w154_diff1_uniform_n96_036,0.004859068011343139,41
pew_w154_diff1_uniform_n208,hobbies,37,pew_w154_diff1_uniform_n96_037,3.2049991107313527e-05,183
pew_w154_diff1_uniform_n208,hobbies,38,pew_w154_diff1_uniform_n96_038,5.910781451774168e-05,156
pew_w154_diff1_uniform_n208,hobbies,39,pew_w154_diff1_uniform_n96_039,0.0065603812266485624,30
pew_w154_diff1_uniform_n208,hobbies,40,pew_w154_diff1_uniform_n96_040,0.00519689148442637,37
pew_w154_diff1_uniform_n208,hobbies,41,pew_w154_diff1_uniform_n96_041,3.948991274288717e-05,177
pew_w154_diff1_uniform_n208,hobbies,42,pew_w154_diff1_uniform_n96_042,4.120327990145711e-05,172
pew_w154_diff1_uniform_n208,hobbies,43,pew_w154_diff1_uniform_n96_043,0.02002163710435623,14
