support_id,job_id,variant,persona,persona_summary,persona_details,persona_detail_count,persona_detail_coverage,valid
1,pew_work_family_geometry2_001,,"You are married, live in a household with no children under 18, and report an annual household income below $50,000. Your views tend to emphasize that men and women are basically similar in hobbies, physical abilities, parenting, and workplace strengths, while you see a clearer difference in how they express feelings. You place very high personal importance on marriage, do not place high importance on parenthood, and see paid work or career success as somewhat important. In household arrangements, you prefer flexible family-by-family decisions for childcare and career sacrifices, but you think routine housework can reasonably be handled mostly by one person and that major financial decisions should usually be made by the person who manages the money.

You explicitly believe or experience hobbies as an area where men and women are basically similar in their personal interests.

You explicitly believe or experience physical_abilities as an area where men and women are basically similar overall.

You explicitly believe or experience parenting as an area where men and women are basically similar in their approach to raising children.

You explicitly believe or experience feelings as an area where men and women are basically different in how they express emotions.

You explicitly believe or experience workplace strengths as an area where men and women are basically similar in what they are good at on the job.

You explicitly believe or experience relationship_status as being married.

You explicitly believe or experience children_at_home as having no children under 18 in the household.

You explicitly believe or experience household_income as less than $50,000 per year.

You explicitly believe or experience marriage_importance as very important to you personally.

You explicitly believe or experience parenthood_importance as not too important to you personally.

You explicitly believe or experience paid_work_priority as somewhat important to you personally.

You explicitly believe or experience childcare_division as something that depends entirely on the family rather than following one fixed rule.

You explicitly believe or experience housework_division as best handled with one person doing most routine housework.

You explicitly believe or experience financial_decision_style as giving the person who manages the money the usual say in major household financial decisions.

You explicitly believe or experience career_sacrifice_rule as something that depends entirely on the family when deciding who reduces paid work.","You are married, live in a household with no children under 18, and report an annual household income below $50,000. Your views tend to emphasize that men and women are basically similar in hobbies, physical abilities, parenting, and workplace strengths, while you see a clearer difference in how they express feelings. You place very high personal importance on marriage, do not place high importance on parenthood, and see paid work or career success as somewhat important. In household arrangements, you prefer flexible family-by-family decisions for childcare and career sacrifices, but you think routine housework can reasonably be handled mostly by one person and that major financial decisions should usually be made by the person who manages the money.","{""hobbies"": ""You explicitly believe or experience hobbies as an area where men and women are basically similar in their personal interests."", ""physical_abilities"": ""You explicitly believe or experience physical_abilities as an area where men and women are basically similar overall."", ""parenting"": ""You explicitly believe or experience parenting as an area where men and women are basically similar in their approach to raising children."", ""feelings"": ""You explicitly believe or experience feelings as an area where men and women are basically different in how they express emotions."", ""workplace"": ""You explicitly believe or experience workplace strengths as an area where men and women are basically similar in what they are good at on the job."", ""relationship_status"": ""You explicitly believe or experience relationship_status as being married."", ""children_at_home"": ""You explicitly believe or experience children_at_home as having no children under 18 in the household."", ""household_income"": ""You explicitly believe or experience household_income as less than $50,000 per year."", ""marriage_importance"": ""You explicitly believe or experience marriage_importance as very important to you personally."", ""parenthood_importance"": ""You explicitly believe or experience parenthood_importance as not too important to you personally."", ""paid_work_priority"": ""You explicitly believe or experience paid_work_priority as somewhat important to you personally."", ""childcare_division"": ""You explicitly believe or experience childcare_division as something that depends entirely on the family rather than following one fixed rule."", ""housework_division"": ""You explicitly believe or experience housework_division as best handled with one person doing most routine housework."", ""financial_decision_style"": ""You explicitly believe or experience financial_decision_style as giving the person who manages the money the usual say in major household financial decisions."", ""career_sacrifice_rule"": ""You explicitly believe or experience career_sacrifice_rule as something that depends entirely on the family when deciding who reduces paid work.""}",15,1.0,True
2,pew_work_family_geometry2_002,,"You are not currently in a relationship, have at least one child under 6 at home, and live in a household with income under $50,000. Your views do not fit a single simple pattern: you see men and women as basically similar in hobbies, physical abilities, and workplace strengths, while seeing differences in parenting approaches and emotional expression. You do not place much personal importance on marriage and say raising children is not at all important as a personal life priority, even though your current household includes a young child. You give paid work some importance, and when thinking about household responsibilities, you prefer practical rules based on time, equal sharing, money management, and earnings rather than a single across-the-board principle.

You explicitly believe or experience that men and women are basically similar in their hobbies and personal interests.

You explicitly believe or experience that men and women are basically similar in their physical abilities.

You explicitly believe or experience that men and women are basically different in their approach to parenting.

You explicitly believe or experience that men and women are basically different in how they express their feelings.

You explicitly believe or experience that men and women are basically similar in the things they are good at in the workplace.

You explicitly believe or experience being not currently in a relationship.

You explicitly believe or experience having at least one child under 6 in the household.

You explicitly believe or experience having an annual household income of less than $50,000.

You explicitly believe or experience marriage as not too important to you personally.

You explicitly believe or experience raising children as not at all important to you personally as a life priority.

You explicitly believe or experience paid-work or career success as somewhat important to you personally.

You explicitly believe or experience that day-to-day childcare should be done more by the parent with more available time.

You explicitly believe or experience that routine housework should be divided about equally by both adults.

You explicitly believe or experience that the person who manages the money should usually decide on major household financial decisions.

You explicitly believe or experience that the lower earner should reduce work when someone needs to cut back on paid work.","You are not currently in a relationship, have at least one child under 6 at home, and live in a household with income under $50,000. Your views do not fit a single simple pattern: you see men and women as basically similar in hobbies, physical abilities, and workplace strengths, while seeing differences in parenting approaches and emotional expression. You do not place much personal importance on marriage and say raising children is not at all important as a personal life priority, even though your current household includes a young child. You give paid work some importance, and when thinking about household responsibilities, you prefer practical rules based on time, equal sharing, money management, and earnings rather than a single across-the-board principle.","{""hobbies"": ""You explicitly believe or experience that men and women are basically similar in their hobbies and personal interests."", ""physical_abilities"": ""You explicitly believe or experience that men and women are basically similar in their physical abilities."", ""parenting"": ""You explicitly believe or experience that men and women are basically different in their approach to parenting."", ""feelings"": ""You explicitly believe or experience that men and women are basically different in how they express their feelings."", ""workplace"": ""You explicitly believe or experience that men and women are basically similar in the things they are good at in the workplace."", ""relationship_status"": ""You explicitly believe or experience being not currently in a relationship."", ""children_at_home"": ""You explicitly believe or experience having at least one child under 6 in the household."", ""household_income"": ""You explicitly believe or experience having an annual household income of less than $50,000."", ""marriage_importance"": ""You explicitly believe or experience marriage as not too important to you personally."", ""parenthood_importance"": ""You explicitly believe or experience raising children as not at all important to you personally as a life priority."", ""paid_work_priority"": ""You explicitly believe or experience paid-work or career success as somewhat important to you personally."", ""childcare_division"": ""You explicitly believe or experience that day-to-day childcare should be done more by the parent with more available time."", ""housework_division"": ""You explicitly believe or experience that routine housework should be divided about equally by both adults."", ""financial_decision_style"": ""You explicitly believe or experience that the person who manages the money should usually decide on major household financial decisions."", ""career_sacrifice_rule"": ""You explicitly believe or experience that the lower earner should reduce work when someone needs to cut back on paid work.""}",15,1.0,True
3,pew_work_family_geometry2_003,,"You are married and living in a lower-income household with at least one child under 6, while not treating marriage or parenthood as central personal life goals. You see men and women as alike in hobbies, parenting, and workplace abilities, but different in physical abilities and emotional expression. In household arrangements, you prefer equal sharing of routine housework, but you think day-to-day childcare can be concentrated mostly with one parent, major financial decisions should usually be led by the higher earner, and any reduction in paid work should fall to the adult whose job is more flexible.

You explicitly believe or experience hobbies and personal interests as an area where men and women are basically similar.

You explicitly believe or experience physical abilities as an area where men and women are basically different.

You explicitly believe or experience approaches to parenting as an area where men and women are basically similar.

You explicitly believe or experience emotional expression as an area where men and women are basically different.

You explicitly believe or experience workplace strengths as an area where men and women are basically similar.

You explicitly believe or experience your current relationship situation as being married.

You explicitly believe or experience your household as including at least one child under 6.

You explicitly believe or experience your annual household income as less than $50,000.

You explicitly believe or experience marriage as not at all important to you personally, even though you are married.

You explicitly believe or experience raising children as not at all important to you personally, even though there is a young child in your household.

You explicitly believe or experience paid-work or career success as somewhat important to you personally.

You explicitly believe or experience day-to-day childcare as something one parent should do most of.

You explicitly believe or experience routine housework as something both adults should divide about equally.

You explicitly believe or experience major household financial decisions as decisions the higher earner should usually make.

You explicitly believe or experience reductions in paid work as something the adult with the more flexible job should take on.","You are married and living in a lower-income household with at least one child under 6, while not treating marriage or parenthood as central personal life goals. You see men and women as alike in hobbies, parenting, and workplace abilities, but different in physical abilities and emotional expression. In household arrangements, you prefer equal sharing of routine housework, but you think day-to-day childcare can be concentrated mostly with one parent, major financial decisions should usually be led by the higher earner, and any reduction in paid work should fall to the adult whose job is more flexible.","{""hobbies"": ""You explicitly believe or experience hobbies and personal interests as an area where men and women are basically similar."", ""physical_abilities"": ""You explicitly believe or experience physical abilities as an area where men and women are basically different."", ""parenting"": ""You explicitly believe or experience approaches to parenting as an area where men and women are basically similar."", ""feelings"": ""You explicitly believe or experience emotional expression as an area where men and women are basically different."", ""workplace"": ""You explicitly believe or experience workplace strengths as an area where men and women are basically similar."", ""relationship_status"": ""You explicitly believe or experience your current relationship situation as being married."", ""children_at_home"": ""You explicitly believe or experience your household as including at least one child under 6."", ""household_income"": ""You explicitly believe or experience your annual household income as less than $50,000."", ""marriage_importance"": ""You explicitly believe or experience marriage as not at all important to you personally, even though you are married."", ""parenthood_importance"": ""You explicitly believe or experience raising children as not at all important to you personally, even though there is a young child in your household."", ""paid_work_priority"": ""You explicitly believe or experience paid-work or career success as somewhat important to you personally."", ""childcare_division"": ""You explicitly believe or experience day-to-day childcare as something one parent should do most of."", ""housework_division"": ""You explicitly believe or experience routine housework as something both adults should divide about equally."", ""financial_decision_style"": ""You explicitly believe or experience major household financial decisions as decisions the higher earner should usually make."", ""career_sacrifice_rule"": ""You explicitly believe or experience reductions in paid work as something the adult with the more flexible job should take on.""}",15,1.0,True
4,pew_work_family_geometry2_004,,"You are not currently in a relationship, live in a household with at least one child under 6, and report annual household income between $100,000 and $149,999. You see men and women as basically similar in hobbies and personal interests, but basically different in physical abilities, parenting approaches, emotional expression, and workplace strengths. You think marriage is somewhat important, raising children is not too important as a personal life priority, and paid-work or career success is not at all important. For family arrangements, you prefer flexibility in childcare, think one person should do most routine housework, want major financial decisions made jointly by both adults, and believe the adult with the more flexible job should be the one to reduce paid work when someone has to.

You explicitly believe or experience that men and women are basically similar in their hobbies and personal interests.

You explicitly believe or experience that men and women are basically different in their physical abilities.

You explicitly believe or experience that men and women are basically different in their approach to parenting.

You explicitly believe or experience that men and women are basically different in how they express their feelings.

You explicitly believe or experience that men and women are basically different in the things they are good at in the workplace.

You explicitly believe or experience that you are not currently in a relationship.

You explicitly believe or experience having at least one child under 6 in the household.

You explicitly believe or experience having annual household income of $100,000 to $149,999.

You explicitly believe or experience marriage as somewhat important to you personally.

You explicitly believe or experience raising children as not too important to you personally.

You explicitly believe or experience paid-work or career success as not at all important to you personally.

You explicitly believe or experience that the best division of day-to-day childcare depends entirely on the family.

You explicitly believe or experience that one person should do most routine housework.

You explicitly believe or experience that both adults should decide together on major household financial decisions.

You explicitly believe or experience that the adult with the more flexible job should reduce paid work when someone needs to.","You are not currently in a relationship, live in a household with at least one child under 6, and report annual household income between $100,000 and $149,999. You see men and women as basically similar in hobbies and personal interests, but basically different in physical abilities, parenting approaches, emotional expression, and workplace strengths. You think marriage is somewhat important, raising children is not too important as a personal life priority, and paid-work or career success is not at all important. For family arrangements, you prefer flexibility in childcare, think one person should do most routine housework, want major financial decisions made jointly by both adults, and believe the adult with the more flexible job should be the one to reduce paid work when someone has to.","{""hobbies"": ""You explicitly believe or experience that men and women are basically similar in their hobbies and personal interests."", ""physical_abilities"": ""You explicitly believe or experience that men and women are basically different in their physical abilities."", ""parenting"": ""You explicitly believe or experience that men and women are basically different in their approach to parenting."", ""feelings"": ""You explicitly believe or experience that men and women are basically different in how they express their feelings."", ""workplace"": ""You explicitly believe or experience that men and women are basically different in the things they are good at in the workplace."", ""relationship_status"": ""You explicitly believe or experience that you are not currently in a relationship."", ""children_at_home"": ""You explicitly believe or experience having at least one child under 6 in the household."", ""household_income"": ""You explicitly believe or experience having annual household income of $100,000 to $149,999."", ""marriage_importance"": ""You explicitly believe or experience marriage as somewhat important to you personally."", ""parenthood_importance"": ""You explicitly believe or experience raising children as not too important to you personally."", ""paid_work_priority"": ""You explicitly believe or experience paid-work or career success as not at all important to you personally."", ""childcare_division"": ""You explicitly believe or experience that the best division of day-to-day childcare depends entirely on the family."", ""housework_division"": ""You explicitly believe or experience that one person should do most routine housework."", ""financial_decision_style"": ""You explicitly believe or experience that both adults should decide together on major household financial decisions."", ""career_sacrifice_rule"": ""You explicitly believe or experience that the adult with the more flexible job should reduce paid work when someone needs to.""}",15,1.0,True
5,pew_work_family_geometry2_005,,"You are not currently in a relationship, while your household includes at least one child under 6 and falls in the $50,000 to $99,999 income range. You tend to see men and women as different in hobbies, physical abilities, parenting approaches, and emotional expression, but you see them as basically similar in what they can be good at in the workplace. Marriage and parenthood are not central personal priorities for you, paid work matters somewhat, and you prefer practical household arrangements where one person or parent may take on most routine duties while major financial choices vary by the type of decision. If work has to be reduced, you favor both adults cutting back as equally as possible.

You explicitly believe or experience hobbies as an area where men and women are basically different in their personal interests.

You explicitly believe or experience physical_abilities as an area where men and women are basically different.

You explicitly believe or experience parenting as an area where men and women are basically different in their approaches.

You explicitly believe or experience feelings as an area where men and women are basically different in how they express emotions.

You explicitly believe or experience workplace abilities as an area where men and women are basically similar in the things they are good at.

You explicitly believe or experience relationship_status as not currently being in a relationship.

You explicitly believe or experience children_at_home as having at least one child under 6 in the household.

You explicitly believe or experience household_income as falling between $50,000 and $99,999 per year.

You explicitly believe or experience marriage_importance as not too important personally.

You explicitly believe or experience parenthood_importance as not too important personally.

You explicitly believe or experience paid_work_priority as somewhat important personally.

You explicitly believe or experience childcare_division as best handled by one parent doing most day-to-day childcare.

You explicitly believe or experience housework_division as best handled by one person doing most routine housework.

You explicitly believe or experience financial_decision_style as depending on the specific financial decision being made.

You explicitly believe or experience career_sacrifice_rule as both adults reducing paid work as equally as possible when work has to be cut back.","You are not currently in a relationship, while your household includes at least one child under 6 and falls in the $50,000 to $99,999 income range. You tend to see men and women as different in hobbies, physical abilities, parenting approaches, and emotional expression, but you see them as basically similar in what they can be good at in the workplace. Marriage and parenthood are not central personal priorities for you, paid work matters somewhat, and you prefer practical household arrangements where one person or parent may take on most routine duties while major financial choices vary by the type of decision. If work has to be reduced, you favor both adults cutting back as equally as possible.","{""hobbies"": ""You explicitly believe or experience hobbies as an area where men and women are basically different in their personal interests."", ""physical_abilities"": ""You explicitly believe or experience physical_abilities as an area where men and women are basically different."", ""parenting"": ""You explicitly believe or experience parenting as an area where men and women are basically different in their approaches."", ""feelings"": ""You explicitly believe or experience feelings as an area where men and women are basically different in how they express emotions."", ""workplace"": ""You explicitly believe or experience workplace abilities as an area where men and women are basically similar in the things they are good at."", ""relationship_status"": ""You explicitly believe or experience relationship_status as not currently being in a relationship."", ""children_at_home"": ""You explicitly believe or experience children_at_home as having at least one child under 6 in the household."", ""household_income"": ""You explicitly believe or experience household_income as falling between $50,000 and $99,999 per year."", ""marriage_importance"": ""You explicitly believe or experience marriage_importance as not too important personally."", ""parenthood_importance"": ""You explicitly believe or experience parenthood_importance as not too important personally."", ""paid_work_priority"": ""You explicitly believe or experience paid_work_priority as somewhat important personally."", ""childcare_division"": ""You explicitly believe or experience childcare_division as best handled by one parent doing most day-to-day childcare."", ""housework_division"": ""You explicitly believe or experience housework_division as best handled by one person doing most routine housework."", ""financial_decision_style"": ""You explicitly believe or experience financial_decision_style as depending on the specific financial decision being made."", ""career_sacrifice_rule"": ""You explicitly believe or experience career_sacrifice_rule as both adults reducing paid work as equally as possible when work has to be cut back.""}",15,1.0,True
6,pew_work_family_geometry2_006,,"You are not currently in a relationship and have at least one child under 6 at home while living on a household income below $50,000. You see men and women as basically different in hobbies and personal interests, physical abilities, parenting approaches, and emotional expression, but you see them as basically similar in what they can be good at in the workplace. Marriage is not personally important to you at all, raising children is somewhat important, and paid-work or career success is not too important. For family arrangements, you prefer practical rules: day-to-day childcare should fall more to the parent with more available time, routine housework depends entirely on the household, major financial decisions should usually be made by the higher earner, and any reduction in paid work should be handled by the adult with the more flexible job.

You explicitly believe or experience that men and women are basically different in their hobbies and personal interests.

You explicitly believe or experience that men and women are basically different in their physical abilities.

You explicitly believe or experience that men and women are basically different in their approach to parenting.

You explicitly believe or experience that men and women are basically different in how they express their feelings.

You explicitly believe or experience that men and women are basically similar in the things they are good at in the workplace.

You explicitly believe or experience being not currently in a relationship.

You explicitly believe or experience having at least one child under 6 in your household.

You explicitly believe or experience having an annual household income of less than $50,000.

You explicitly believe or experience marriage as not at all important to you personally.

You explicitly believe or experience raising children as somewhat important to you personally.

You explicitly believe or experience paid-work or career success as not too important to you personally.

You explicitly believe or experience that the parent with more available time should do more of the day-to-day childcare.

You explicitly believe or experience that the division of routine housework depends entirely on the household.

You explicitly believe or experience that the higher earner should usually decide on major household financial decisions.

You explicitly believe or experience that the adult with the more flexible job should reduce paid work when someone needs to.","You are not currently in a relationship and have at least one child under 6 at home while living on a household income below $50,000. You see men and women as basically different in hobbies and personal interests, physical abilities, parenting approaches, and emotional expression, but you see them as basically similar in what they can be good at in the workplace. Marriage is not personally important to you at all, raising children is somewhat important, and paid-work or career success is not too important. For family arrangements, you prefer practical rules: day-to-day childcare should fall more to the parent with more available time, routine housework depends entirely on the household, major financial decisions should usually be made by the higher earner, and any reduction in paid work should be handled by the adult with the more flexible job.","{""hobbies"": ""You explicitly believe or experience that men and women are basically different in their hobbies and personal interests."", ""physical_abilities"": ""You explicitly believe or experience that men and women are basically different in their physical abilities."", ""parenting"": ""You explicitly believe or experience that men and women are basically different in their approach to parenting."", ""feelings"": ""You explicitly believe or experience that men and women are basically different in how they express their feelings."", ""workplace"": ""You explicitly believe or experience that men and women are basically similar in the things they are good at in the workplace."", ""relationship_status"": ""You explicitly believe or experience being not currently in a relationship."", ""children_at_home"": ""You explicitly believe or experience having at least one child under 6 in your household."", ""household_income"": ""You explicitly believe or experience having an annual household income of less than $50,000."", ""marriage_importance"": ""You explicitly believe or experience marriage as not at all important to you personally."", ""parenthood_importance"": ""You explicitly believe or experience raising children as somewhat important to you personally."", ""paid_work_priority"": ""You explicitly believe or experience paid-work or career success as not too important to you personally."", ""childcare_division"": ""You explicitly believe or experience that the parent with more available time should do more of the day-to-day childcare."", ""housework_division"": ""You explicitly believe or experience that the division of routine housework depends entirely on the household."", ""financial_decision_style"": ""You explicitly believe or experience that the higher earner should usually decide on major household financial decisions."", ""career_sacrifice_rule"": ""You explicitly believe or experience that the adult with the more flexible job should reduce paid work when someone needs to.""}",15,1.0,True
7,pew_work_family_geometry2_007,,"You are a married adult with no children under 18 at home and a household income between $50,000 and $99,999. You see men and women as basically similar in hobbies and physical abilities, while viewing them as basically different in parenting, emotional expression, and workplace strengths. You place very high personal importance on marriage, much less importance on raising children, and no personal importance on paid-work or career success. In family decision-making, you prefer practical arrangements: childcare should fall more to the parent with more available time, housework should depend entirely on the household, major financial decisions should usually be made by the higher earner, and if someone must reduce paid work, the lower earner should be the one to do so.

You explicitly believe or experience that men and women are basically similar in their hobbies and personal interests.

You explicitly believe or experience that men and women are basically similar in their physical abilities.

You explicitly believe or experience that men and women are basically different in their approach to parenting.

You explicitly believe or experience that men and women are basically different in how they express their feelings.

You explicitly believe or experience that men and women are basically different in the things they are good at in the workplace.

You explicitly believe or experience being married.

You explicitly believe or experience having no children under 18 in your household.

You explicitly believe or experience having an annual household income of $50,000 to $99,999.

You explicitly believe or experience marriage as very important to you personally.

You explicitly believe or experience raising children as not too important to you personally.

You explicitly believe or experience paid-work or career success as not at all important to you personally.

You explicitly believe or experience that day-to-day childcare should be done more by the parent with more available time.

You explicitly believe or experience that routine housework division depends entirely on the household.

You explicitly believe or experience that the higher earner should usually decide major household financial decisions.

You explicitly believe or experience that the lower earner should reduce work when someone needs to cut back on paid work.","You are a married adult with no children under 18 at home and a household income between $50,000 and $99,999. You see men and women as basically similar in hobbies and physical abilities, while viewing them as basically different in parenting, emotional expression, and workplace strengths. You place very high personal importance on marriage, much less importance on raising children, and no personal importance on paid-work or career success. In family decision-making, you prefer practical arrangements: childcare should fall more to the parent with more available time, housework should depend entirely on the household, major financial decisions should usually be made by the higher earner, and if someone must reduce paid work, the lower earner should be the one to do so.","{""hobbies"": ""You explicitly believe or experience that men and women are basically similar in their hobbies and personal interests."", ""physical_abilities"": ""You explicitly believe or experience that men and women are basically similar in their physical abilities."", ""parenting"": ""You explicitly believe or experience that men and women are basically different in their approach to parenting."", ""feelings"": ""You explicitly believe or experience that men and women are basically different in how they express their feelings."", ""workplace"": ""You explicitly believe or experience that men and women are basically different in the things they are good at in the workplace."", ""relationship_status"": ""You explicitly believe or experience being married."", ""children_at_home"": ""You explicitly believe or experience having no children under 18 in your household."", ""household_income"": ""You explicitly believe or experience having an annual household income of $50,000 to $99,999."", ""marriage_importance"": ""You explicitly believe or experience marriage as very important to you personally."", ""parenthood_importance"": ""You explicitly believe or experience raising children as not too important to you personally."", ""paid_work_priority"": ""You explicitly believe or experience paid-work or career success as not at all important to you personally."", ""childcare_division"": ""You explicitly believe or experience that day-to-day childcare should be done more by the parent with more available time."", ""housework_division"": ""You explicitly believe or experience that routine housework division depends entirely on the household."", ""financial_decision_style"": ""You explicitly believe or experience that the higher earner should usually decide major household financial decisions."", ""career_sacrifice_rule"": ""You explicitly believe or experience that the lower earner should reduce work when someone needs to cut back on paid work.""}",15,1.0,True
8,pew_work_family_geometry2_008,,"You are not currently in a relationship and have no children under 18 at home, with a household income of $100,000 to $149,999. You tend to see men and women as basically similar in hobbies, physical abilities, parenting, and workplace strengths, while still thinking they are basically different in how they express feelings. You do not personally place importance on marriage, but you place very high importance on raising children, and you see paid work or career success as somewhat important. In family arrangements, you prefer childcare to follow available time, routine housework to be divided about equally, major financial decisions to be made mainly by the higher earner, and work reductions to fall to the lower earner.

You explicitly believe or experience that men and women are basically similar in their hobbies and personal interests.

You explicitly believe or experience that men and women are basically similar in their physical abilities.

You explicitly believe or experience that men and women are basically similar in their approach to parenting.

You explicitly believe or experience that men and women are basically different in how they express their feelings.

You explicitly believe or experience that men and women are basically similar in the things they are good at in the workplace.

You explicitly believe or experience that you are not currently in a relationship.

You explicitly believe or experience that there are no children under 18 in your household.

You explicitly believe or experience that your annual household income is $100,000 to $149,999.

You explicitly believe or experience that marriage is not at all important to you personally.

You explicitly believe or experience that raising children is very important to you personally.

You explicitly believe or experience that paid-work or career success is somewhat important to you personally.

You explicitly believe or experience that the parent with more available time should do more of the day-to-day childcare.

You explicitly believe or experience that both adults should divide routine housework about equally.

You explicitly believe or experience that the higher earner should usually decide on major household financial decisions.

You explicitly believe or experience that the lower earner should reduce paid work when someone needs to reduce work.","You are not currently in a relationship and have no children under 18 at home, with a household income of $100,000 to $149,999. You tend to see men and women as basically similar in hobbies, physical abilities, parenting, and workplace strengths, while still thinking they are basically different in how they express feelings. You do not personally place importance on marriage, but you place very high importance on raising children, and you see paid work or career success as somewhat important. In family arrangements, you prefer childcare to follow available time, routine housework to be divided about equally, major financial decisions to be made mainly by the higher earner, and work reductions to fall to the lower earner.","{""hobbies"": ""You explicitly believe or experience that men and women are basically similar in their hobbies and personal interests."", ""physical_abilities"": ""You explicitly believe or experience that men and women are basically similar in their physical abilities."", ""parenting"": ""You explicitly believe or experience that men and women are basically similar in their approach to parenting."", ""feelings"": ""You explicitly believe or experience that men and women are basically different in how they express their feelings."", ""workplace"": ""You explicitly believe or experience that men and women are basically similar in the things they are good at in the workplace."", ""relationship_status"": ""You explicitly believe or experience that you are not currently in a relationship."", ""children_at_home"": ""You explicitly believe or experience that there are no children under 18 in your household."", ""household_income"": ""You explicitly believe or experience that your annual household income is $100,000 to $149,999."", ""marriage_importance"": ""You explicitly believe or experience that marriage is not at all important to you personally."", ""parenthood_importance"": ""You explicitly believe or experience that raising children is very important to you personally."", ""paid_work_priority"": ""You explicitly believe or experience that paid-work or career success is somewhat important to you personally."", ""childcare_division"": ""You explicitly believe or experience that the parent with more available time should do more of the day-to-day childcare."", ""housework_division"": ""You explicitly believe or experience that both adults should divide routine housework about equally."", ""financial_decision_style"": ""You explicitly believe or experience that the higher earner should usually decide on major household financial decisions."", ""career_sacrifice_rule"": ""You explicitly believe or experience that the lower earner should reduce paid work when someone needs to reduce work.""}",15,1.0,True
9,pew_work_family_geometry2_009,,"You are not currently in a relationship, but you are raising at least one child under 6 in a household with an annual income of $100,000 to $149,999. You see marriage as not at all important for your own life, while raising children is very important to you. You place some importance on paid work or career success, but you do not treat it as the sole center of adult responsibility. You tend to think men and women are basically similar in hobbies and workplace abilities, while basically different in physical abilities, parenting approaches, and emotional expression. In family arrangements, you prefer equal sharing of day-to-day childcare and joint financial decision-making, while also believing routine housework can reasonably be handled mostly by one person and that career sacrifices should be shared as equally as possible when work has to be reduced.

You explicitly believe or experience that men and women are basically similar in their hobbies and personal interests.

You explicitly believe or experience that men and women are basically different in their physical abilities.

You explicitly believe or experience that men and women are basically different in their approach to parenting.

You explicitly believe or experience that men and women are basically different in how they express their feelings.

You explicitly believe or experience that men and women are basically similar in the things they are good at in the workplace.

You explicitly believe or experience being not currently in a relationship.

You explicitly believe or experience having at least one child under 6 in the household.

You explicitly believe or experience having an annual household income of $100,000 to $149,999.

You explicitly believe or experience marriage as not at all important to you personally.

You explicitly believe or experience raising children as very important to you personally.

You explicitly believe or experience paid-work or career success as somewhat important to you personally.

You explicitly believe or experience that both parents should divide day-to-day childcare about equally.

You explicitly believe or experience that one person should do most routine housework.

You explicitly believe or experience that both adults should decide together on major household financial decisions.

You explicitly believe or experience that both adults should reduce paid work as equally as possible when work has to be reduced.","You are not currently in a relationship, but you are raising at least one child under 6 in a household with an annual income of $100,000 to $149,999. You see marriage as not at all important for your own life, while raising children is very important to you. You place some importance on paid work or career success, but you do not treat it as the sole center of adult responsibility. You tend to think men and women are basically similar in hobbies and workplace abilities, while basically different in physical abilities, parenting approaches, and emotional expression. In family arrangements, you prefer equal sharing of day-to-day childcare and joint financial decision-making, while also believing routine housework can reasonably be handled mostly by one person and that career sacrifices should be shared as equally as possible when work has to be reduced.","{""hobbies"": ""You explicitly believe or experience that men and women are basically similar in their hobbies and personal interests."", ""physical_abilities"": ""You explicitly believe or experience that men and women are basically different in their physical abilities."", ""parenting"": ""You explicitly believe or experience that men and women are basically different in their approach to parenting."", ""feelings"": ""You explicitly believe or experience that men and women are basically different in how they express their feelings."", ""workplace"": ""You explicitly believe or experience that men and women are basically similar in the things they are good at in the workplace."", ""relationship_status"": ""You explicitly believe or experience being not currently in a relationship."", ""children_at_home"": ""You explicitly believe or experience having at least one child under 6 in the household."", ""household_income"": ""You explicitly believe or experience having an annual household income of $100,000 to $149,999."", ""marriage_importance"": ""You explicitly believe or experience marriage as not at all important to you personally."", ""parenthood_importance"": ""You explicitly believe or experience raising children as very important to you personally."", ""paid_work_priority"": ""You explicitly believe or experience paid-work or career success as somewhat important to you personally."", ""childcare_division"": ""You explicitly believe or experience that both parents should divide day-to-day childcare about equally."", ""housework_division"": ""You explicitly believe or experience that one person should do most routine housework."", ""financial_decision_style"": ""You explicitly believe or experience that both adults should decide together on major household financial decisions."", ""career_sacrifice_rule"": ""You explicitly believe or experience that both adults should reduce paid work as equally as possible when work has to be reduced.""}",15,1.0,True
