target_id,type,items,feature_method,confidence_weight,column_start,column_count,source_kind,target,prediction,rmse,max_absolute_residual
marginal:hobbies,marginal,"[""hobbies""]",marginal,1.0,0,2,observed,"[0.3199908774739627, 0.6800091225260373]","[0.3191718392833133, 0.6808281607166867]",0.0008190381906494348,0.0008190381906494348
marginal:physical_abilities,marginal,"[""physical_abilities""]",marginal,1.0,2,2,observed,"[0.19070482765971405, 0.8092951723402859]","[0.19165294061849486, 0.808347059381505]",0.0009481129587808751,0.0009481129587809445
marginal:parenting,marginal,"[""parenting""]",marginal,1.0,4,2,observed,"[0.2876218161953853, 0.7123781838046147]","[0.28887624070123397, 0.7111237592987663]",0.0012544245058485615,0.0012544245058486725
marginal:feelings,marginal,"[""feelings""]",marginal,1.0,6,2,observed,"[0.10958316743872445, 0.8904168325612756]","[0.12890268675576028, 0.8710973132442402]",0.019319519317035586,0.01931951931703582
marginal:workplace,marginal,"[""workplace""]",marginal,1.0,8,2,observed,"[0.5725168549843521, 0.4274831450156478]","[0.572303103805917, 0.4276968961940832]",0.00021375117843525082,0.00021375117843536184
marginal:relationship_status,marginal,"[""relationship_status""]",marginal,1.0,10,4,model_synthetic,"[0.49, 0.08333333333333333, 0.09666666666666668, 0.33]","[0.48880663572531746, 0.08418762605220809, 0.0969456241199128, 0.33006011410256186]",0.000747556905469303,0.001193364274682529
marginal:children_at_home,marginal,"[""children_at_home""]",marginal,1.0,14,4,model_synthetic,"[0.6733333333333333, 0.08833333333333333, 0.16666666666666666, 0.07166666666666667]","[0.6721475088563444, 0.08620949495313614, 0.16617923356145484, 0.0754637626290647]",0.002267840268578265,0.0037970959623980366
marginal:household_income,marginal,"[""household_income""]",marginal,1.0,18,4,model_synthetic,"[0.2966666666666667, 0.2866666666666667, 0.18666666666666668, 0.22999999999999998]","[0.2974137172548248, 0.2849624283683664, 0.18724202644450885, 0.2303818279323]",0.0009923890621253303,0.001704238298300298
marginal:parenthood_importance,marginal,"[""parenthood_importance""]",marginal,1.0,22,4,model_synthetic,"[0.14333333333333334, 0.16333333333333333, 0.2733333333333334, 0.42]","[0.14273235988562294, 0.1619116197936553, 0.27378710586246235, 0.42156891445825934]",0.00112359251502537,0.0015689144582593517
marginal:paid_work_priority,marginal,"[""paid_work_priority""]",marginal,1.0,26,4,model_synthetic,"[0.07, 0.1466666666666667, 0.36999999999999994, 0.41333333333333333]","[0.07186730283016567, 0.1483857281460585, 0.3694091086818557, 0.4103378603419203]",0.001985195407360217,0.0029954729914130063
marginal:housework_division,marginal,"[""housework_division""]",marginal,1.0,30,4,model_synthetic,"[0.06666666666666667, 0.49666666666666665, 0.2733333333333334, 0.16333333333333333]","[0.06673332433208239, 0.4946125568764005, 0.27396216150551705, 0.16469195728600025]",0.0012713274745043176,0.0020541097902661565
