item,option,covered,support_rows
hobbies,Men and women are basically similar,True,28
hobbies,Men and women are basically different,True,4
physical_abilities,Men and women are basically similar,True,20
physical_abilities,Men and women are basically different,True,12
parenting,Men and women are basically similar,True,18
parenting,Men and women are basically different,True,14
feelings,Men and women are basically similar,True,5
feelings,Men and women are basically different,True,27
workplace,Men and women are basically similar,True,27
workplace,Men and women are basically different,True,5
relationship_status,Married,True,7
relationship_status,Living with a partner,True,1
relationship_status,In a relationship but not living together,True,11
relationship_status,Not currently in a relationship,True,13
children_at_home,No children under 18,True,9
children_at_home,At least one child under 6,True,7
children_at_home,Only children ages 6 to 17,True,9
children_at_home,Children both under 6 and ages 6 to 17,True,7
household_income,"Less than $50,000",True,22
household_income,"$50,000 to $99,999",True,4
household_income,"$100,000 to $149,999",True,1
household_income,"$150,000 or more",True,5
marriage_importance,Not at all important,True,4
marriage_importance,Not too important,True,10
marriage_importance,Somewhat important,True,7
marriage_importance,Very important,True,11
parenthood_importance,Not at all important,True,2
parenthood_importance,Not too important,True,4
parenthood_importance,Somewhat important,True,19
parenthood_importance,Very important,True,7
paid_work_priority,Not at all important,True,4
paid_work_priority,Not too important,True,2
paid_work_priority,Somewhat important,True,22
paid_work_priority,Very important,True,4
childcare_division,One parent should do most of it,True,6
childcare_division,Both parents should divide it about equally,True,10
childcare_division,The parent with more available time should do more,True,3
childcare_division,It depends entirely on the family,True,13
housework_division,One person should do most of it,True,9
housework_division,Both adults should divide it about equally,True,9
housework_division,The person with more available time should do more,True,1
housework_division,It depends entirely on the household,True,13
financial_decision_style,The higher earner should usually decide,True,8
financial_decision_style,The person who manages the money should usually decide,True,5
financial_decision_style,Both adults should decide together,True,14
financial_decision_style,It depends on the decision,True,5
career_sacrifice_rule,The lower earner should reduce work,True,11
career_sacrifice_rule,The adult with the more flexible job should reduce work,True,5
career_sacrifice_rule,Both adults should reduce work as equally as possible,True,6
career_sacrifice_rule,It depends entirely on the family,True,10
