item,option,covered,support_rows
hobbies,Men and women are basically similar,True,25
hobbies,Men and women are basically different,True,23
physical_abilities,Men and women are basically similar,True,33
physical_abilities,Men and women are basically different,True,15
parenting,Men and women are basically similar,True,23
parenting,Men and women are basically different,True,25
feelings,Men and women are basically similar,True,31
feelings,Men and women are basically different,True,17
workplace,Men and women are basically similar,True,19
workplace,Men and women are basically different,True,29
