job_id,support_id,status,code,message,item,raw_sum,min_probability,max_probability
teen_social_big_support_aug3_257,1,ok,,,social_media_hours,1.0,0.07,0.68
teen_social_big_support_aug3_257,1,ok,,,posting_frequency,1.0,0.08,0.55
teen_social_big_support_aug3_257,1,ok,,,late_night_use,1.0,0.1,0.45
teen_social_big_support_aug3_257,1,ok,,,sleep_interference,1.0,0.06,0.51
teen_social_big_support_aug3_257,1,ok,,,social_comparison,0.9999999999999999,0.09,0.48
teen_social_big_support_aug3_257,1,ok,,,connection_effect,1.0,0.08,0.65
teen_social_big_support_aug3_257,1,ok,,,parental_rules,1.0,0.05,0.56
teen_social_big_support_aug3_257,1,ok,,,primary_platform,1.0,0.02,0.39
teen_social_big_support_aug3_258,2,ok,,,social_media_hours,0.9999999999999999,0.1,0.58
teen_social_big_support_aug3_258,2,ok,,,posting_frequency,1.0,0.04,0.64
teen_social_big_support_aug3_258,2,ok,,,late_night_use,1.0,0.06,0.54
teen_social_big_support_aug3_258,2,ok,,,sleep_interference,1.0,0.07,0.5
teen_social_big_support_aug3_258,2,ok,,,social_comparison,1.0,0.12,0.44
teen_social_big_support_aug3_258,2,ok,,,connection_effect,1.0,0.16,0.5
teen_social_big_support_aug3_258,2,ok,,,parental_rules,1.0,0.04,0.61
teen_social_big_support_aug3_258,2,ok,,,primary_platform,1.0,0.07,0.5
teen_social_big_support_aug3_259,3,ok,,,social_media_hours,1.0000000000000002,0.11,0.55
teen_social_big_support_aug3_259,3,ok,,,posting_frequency,1.0,0.05,0.58
teen_social_big_support_aug3_259,3,ok,,,late_night_use,1.0,0.08,0.5
teen_social_big_support_aug3_259,3,ok,,,sleep_interference,1.0,0.05,0.52
teen_social_big_support_aug3_259,3,ok,,,social_comparison,1.0,0.07,0.46
teen_social_big_support_aug3_259,3,ok,,,connection_effect,1.0,0.16,0.48
teen_social_big_support_aug3_259,3,ok,,,parental_rules,1.0,0.08,0.51
teen_social_big_support_aug3_259,3,ok,,,primary_platform,1.0,0.05,0.46
teen_social_big_support_aug3_260,4,ok,,,social_media_hours,1.0,0.1,0.55
teen_social_big_support_aug3_260,4,ok,,,posting_frequency,1.0,0.1,0.5
teen_social_big_support_aug3_260,4,ok,,,late_night_use,1.0,0.05,0.6
teen_social_big_support_aug3_260,4,ok,,,sleep_interference,1.0,0.06,0.55
teen_social_big_support_aug3_260,4,ok,,,social_comparison,1.0,0.05,0.5
teen_social_big_support_aug3_260,4,ok,,,connection_effect,1.0,0.16,0.52
teen_social_big_support_aug3_260,4,ok,,,parental_rules,1.0,0.05,0.6
teen_social_big_support_aug3_260,4,ok,,,primary_platform,1.0,0.02,0.5
teen_social_big_support_aug3_261,5,ok,,,social_media_hours,1.0000000000000002,0.11,0.55
teen_social_big_support_aug3_261,5,ok,,,posting_frequency,0.9999999999999999,0.09,0.46
teen_social_big_support_aug3_261,5,ok,,,late_night_use,1.0,0.08,0.48
teen_social_big_support_aug3_261,5,ok,,,sleep_interference,1.0,0.14,0.43
teen_social_big_support_aug3_261,5,ok,,,social_comparison,0.9999999999999999,0.08,0.45
teen_social_big_support_aug3_261,5,ok,,,connection_effect,1.0,0.16,0.5
teen_social_big_support_aug3_261,5,ok,,,parental_rules,1.0,0.04,0.6
teen_social_big_support_aug3_261,5,ok,,,primary_platform,1.0,0.05,0.42
teen_social_big_support_aug3_262,6,ok,,,social_media_hours,1.0,0.16,0.56
teen_social_big_support_aug3_262,6,ok,,,posting_frequency,1.0,0.06,0.62
teen_social_big_support_aug3_262,6,ok,,,late_night_use,1.0,0.08,0.5
teen_social_big_support_aug3_262,6,ok,,,sleep_interference,1.0,0.16,0.42
teen_social_big_support_aug3_262,6,ok,,,social_comparison,1.0,0.05,0.58
teen_social_big_support_aug3_262,6,ok,,,connection_effect,1.0,0.18,0.48
teen_social_big_support_aug3_262,6,ok,,,parental_rules,1.0,0.05,0.6
teen_social_big_support_aug3_262,6,ok,,,primary_platform,1.0,0.07,0.5
teen_social_big_support_aug3_263,7,ok,,,social_media_hours,1.0,0.08,0.63
teen_social_big_support_aug3_263,7,ok,,,posting_frequency,1.0,0.09,0.54
teen_social_big_support_aug3_263,7,ok,,,late_night_use,1.0,0.06,0.51
teen_social_big_support_aug3_263,7,ok,,,sleep_interference,1.0,0.13,0.45
teen_social_big_support_aug3_263,7,ok,,,social_comparison,1.0,0.06,0.55
teen_social_big_support_aug3_263,7,ok,,,connection_effect,1.0,0.19,0.46
teen_social_big_support_aug3_263,7,ok,,,parental_rules,1.0,0.07,0.52
teen_social_big_support_aug3_263,7,ok,,,primary_platform,1.0,0.02,0.49
teen_social_big_support_aug3_264,8,ok,,,social_media_hours,1.0,0.08,0.65
teen_social_big_support_aug3_264,8,ok,,,posting_frequency,0.9999999999999999,0.09,0.48
teen_social_big_support_aug3_264,8,ok,,,late_night_use,1.0,0.06,0.54
teen_social_big_support_aug3_264,8,ok,,,sleep_interference,1.0,0.05,0.56
teen_social_big_support_aug3_264,8,ok,,,social_comparison,1.0,0.05,0.58
teen_social_big_support_aug3_264,8,ok,,,connection_effect,1.0,0.08,0.63
teen_social_big_support_aug3_264,8,ok,,,parental_rules,1.0,0.1,0.51
teen_social_big_support_aug3_264,8,ok,,,primary_platform,1.0,0.02,0.43
teen_social_big_support_aug3_265,9,ok,,,social_media_hours,1.0,0.14,0.58
teen_social_big_support_aug3_265,9,ok,,,posting_frequency,1.0,0.08,0.55
teen_social_big_support_aug3_265,9,ok,,,late_night_use,1.0,0.07,0.54
teen_social_big_support_aug3_265,9,ok,,,sleep_interference,1.0,0.1,0.44
teen_social_big_support_aug3_265,9,ok,,,social_comparison,1.0,0.05,0.57
