target_id,type,items,feature_method,confidence_weight,column_start,column_count,source_kind,target,prediction,rmse,max_absolute_residual
marginal:hobbies,marginal,"[""hobbies""]",marginal,1.0,0,2,observed,"[0.3199908774739627, 0.6800091225260373]","[0.3201670596313509, 0.6798329403686487]",0.00017618215738837706,0.00017618215738857135
marginal:physical_abilities,marginal,"[""physical_abilities""]",marginal,1.0,2,2,observed,"[0.19070482765971405, 0.8092951723402859]","[0.1923208046915279, 0.8076791953084721]",0.001615977031813834,0.0016159770318138478
marginal:parenting,marginal,"[""parenting""]",marginal,1.0,4,2,observed,"[0.2876218161953853, 0.7123781838046147]","[0.28831995940156363, 0.7116800405984366]",0.0006981432061782256,0.0006981432061783366
marginal:feelings,marginal,"[""feelings""]",marginal,1.0,6,2,observed,"[0.10958316743872445, 0.8904168325612756]","[0.13021823041689104, 0.8697817695831088]",0.02063506297816667,0.02063506297816675
marginal:workplace,marginal,"[""workplace""]",marginal,1.0,8,2,observed,"[0.5725168549843521, 0.4274831450156478]","[0.5724586009737589, 0.4275413990262412]",5.825401059331159e-05,5.8254010593394856e-05
marginal:relationship_status,marginal,"[""relationship_status""]",marginal,1.0,10,4,model_synthetic,"[0.49, 0.08333333333333333, 0.09666666666666668, 0.33]","[0.4884221785193397, 0.08523405561047329, 0.09758665927714899, 0.3287571065930378]",0.0014571750258686542,0.0019007222771399573
marginal:children_at_home,marginal,"[""children_at_home""]",marginal,1.0,14,4,model_synthetic,"[0.6733333333333333, 0.08833333333333333, 0.16666666666666666, 0.07166666666666667]","[0.6719516314006826, 0.08821784103399143, 0.16719975870257112, 0.07263076886275496]",0.000885454525250326,0.0013817019326507474
marginal:household_income,marginal,"[""household_income""]",marginal,1.0,18,4,model_synthetic,"[0.2966666666666667, 0.2866666666666667, 0.18666666666666668, 0.22999999999999998]","[0.2961280056477362, 0.28671337956220133, 0.18658007698558332, 0.23057853780447918]",0.0003982905823661168,0.0005785378044791956
marginal:parenthood_importance,marginal,"[""parenthood_importance""]",marginal,1.0,22,4,model_synthetic,"[0.14333333333333334, 0.16333333333333333, 0.2733333333333334, 0.42]","[0.143112639588643, 0.16391942345228838, 0.27322752456369487, 0.4197404123953739]",0.000343070173831137,0.0005860901189550516
marginal:paid_work_priority,marginal,"[""paid_work_priority""]",marginal,1.0,26,4,model_synthetic,"[0.07, 0.1466666666666667, 0.36999999999999994, 0.41333333333333333]","[0.07063500735850518, 0.1484535377071199, 0.3690450711635666, 0.41186638377080864]",0.001290346132071671,0.0017868710404531918
marginal:housework_division,marginal,"[""housework_division""]",marginal,1.0,30,4,model_synthetic,"[0.06666666666666667, 0.49666666666666665, 0.2733333333333334, 0.16333333333333333]","[0.0669969462519778, 0.4952726210577163, 0.27387885411386026, 0.16385157857644567]",0.0008091073504644272,0.001394045608950345
