target_id,type,items,feature_method,confidence_weight,column_start,column_count,source_kind,target,prediction,rmse,max_absolute_residual
marginal:hobbies,marginal,"[""hobbies""]",marginal,1.0,0,2,observed,"[0.3199908774739627, 0.6800091225260373]","[0.3391759505834874, 0.6608240494165125]",0.01918507310952472,0.019185073109524775
marginal:physical_abilities,marginal,"[""physical_abilities""]",marginal,1.0,2,2,observed,"[0.19070482765971405, 0.8092951723402859]","[0.227912946876983, 0.7720870531230168]",0.037208119217269006,0.037208119217269076
marginal:parenting,marginal,"[""parenting""]",marginal,1.0,4,2,observed,"[0.2876218161953853, 0.7123781838046147]","[0.3340513065838304, 0.6659486934161697]",0.04642949038844507,0.04642949038844513
marginal:feelings,marginal,"[""feelings""]",marginal,1.0,6,2,observed,"[0.10958316743872445, 0.8904168325612756]","[0.20979589937557988, 0.7902041006244203]",0.10021273193685537,0.10021273193685543
marginal:workplace,marginal,"[""workplace""]",marginal,1.0,8,2,observed,"[0.5725168549843521, 0.4274831450156478]","[0.5733937060324357, 0.4266062939675642]",0.0008768510480835767,0.0008768510480836045
marginal:relationship_status,marginal,"[""relationship_status""]",marginal,1.0,10,4,model_synthetic,"[0.49, 0.08333333333333333, 0.09666666666666668, 0.33]","[0.47845186889435576, 0.08493290488497918, 0.11820039152260667, 0.3184148346980588]",0.01354469750886498,0.02153372485593999
marginal:children_at_home,marginal,"[""children_at_home""]",marginal,1.0,14,4,model_synthetic,"[0.6733333333333333, 0.08833333333333333, 0.16666666666666666, 0.07166666666666667]","[0.6485413756960415, 0.0962574171789281, 0.17015479625403715, 0.0850464108709931]",0.014736153426800222,0.024791957637291806
marginal:household_income,marginal,"[""household_income""]",marginal,1.0,18,4,model_synthetic,"[0.2966666666666667, 0.2866666666666667, 0.18666666666666668, 0.22999999999999998]","[0.2969273285946302, 0.2817774253253927, 0.19353607404382703, 0.22775917203614993]",0.004364134885944461,0.0068694073771603525
marginal:parenthood_importance,marginal,"[""parenthood_importance""]",marginal,1.0,22,4,model_synthetic,"[0.14333333333333334, 0.16333333333333333, 0.2733333333333334, 0.42]","[0.1515028215710819, 0.16180011037392933, 0.27523080897565944, 0.4114662590793296]",0.006031510147224756,0.008533740920670385
marginal:paid_work_priority,marginal,"[""paid_work_priority""]",marginal,1.0,26,4,model_synthetic,"[0.07, 0.1466666666666667, 0.36999999999999994, 0.41333333333333333]","[0.09563938037728145, 0.15788496977593683, 0.33968496729400705, 0.4067906825527744]",0.020886811855715032,0.030315032705992895
marginal:housework_division,marginal,"[""housework_division""]",marginal,1.0,30,4,model_synthetic,"[0.06666666666666667, 0.49666666666666665, 0.2733333333333334, 0.16333333333333333]","[0.08690393283355231, 0.4597220721570209, 0.27116564674748345, 0.18220834826194315]",0.023105275691285527,0.03694459450964577
