support_id,job_id,weight
1,pew_work_family_blueprints_001,0.0
2,pew_work_family_blueprints_002,0.0
3,pew_work_family_blueprints_003,0.0
4,pew_work_family_blueprints_004,0.0
5,pew_work_family_blueprints_005,0.0
6,pew_work_family_blueprints_006,0.0
7,pew_work_family_blueprints_007,0.0
8,pew_work_family_blueprints_008,0.0
9,pew_work_family_blueprints_009,0.0
10,pew_work_family_blueprints_010,0.0
11,pew_work_family_blueprints_011,0.0
12,pew_work_family_blueprints_012,0.0
13,pew_work_family_blueprints_013,0.0
14,pew_work_family_blueprints_014,0.0
15,pew_work_family_blueprints_015,0.0
16,pew_work_family_blueprints_016,0.0
17,pew_work_family_blueprints_017,0.0
18,pew_work_family_blueprints_018,0.0
19,pew_work_family_blueprints_019,0.0
20,pew_work_family_blueprints_020,0.0
21,pew_work_family_blueprints_021,0.0
22,pew_work_family_blueprints_022,0.0
23,pew_work_family_blueprints_023,0.0
24,pew_work_family_blueprints_024,0.0
25,pew_work_family_blueprints_025,0.0
26,pew_work_family_blueprints_026,0.09716663892302778
27,pew_work_family_blueprints_027,0.0
28,pew_work_family_blueprints_028,0.0
29,pew_work_family_blueprints_029,0.0
30,pew_work_family_blueprints_030,0.0
31,pew_work_family_blueprints_031,0.0
32,pew_work_family_blueprints_032,0.0
33,pew_work_family_blueprints_033,0.0
34,pew_work_family_blueprints_034,0.0
35,pew_work_family_blueprints_035,0.0
36,pew_work_family_blueprints_036,0.0
37,pew_work_family_blueprints_037,0.0
38,pew_work_family_blueprints_038,0.0
39,pew_work_family_blueprints_039,0.2866236181108738
40,pew_work_family_blueprints_040,0.0
41,pew_work_family_blueprints_041,0.0
42,pew_work_family_blueprints_042,0.13287137360968881
43,pew_work_family_blueprints_043,0.0
44,pew_work_family_blueprints_044,0.0
45,pew_work_family_blueprints_045,0.0
46,pew_work_family_blueprints_046,0.0
47,pew_work_family_blueprints_047,0.0
48,pew_work_family_blueprints_048,0.0
49,pew_work_family_blueprints_049,0.05194255205395938
50,pew_work_family_blueprints_050,0.0
51,pew_work_family_blueprints_051,0.0
52,pew_work_family_blueprints_052,0.0
53,pew_work_family_blueprints_053,0.0
54,pew_work_family_blueprints_054,0.0
55,pew_work_family_blueprints_055,0.0
56,pew_work_family_blueprints_056,0.0
57,pew_work_family_blueprints_057,0.14608628817400923
58,pew_work_family_blueprints_058,0.0
59,pew_work_family_blueprints_059,0.0
60,pew_work_family_blueprints_060,0.0
61,pew_work_family_blueprints_061,0.0
62,pew_work_family_blueprints_062,0.0
63,pew_work_family_blueprints_063,0.0
64,pew_work_family_blueprints_064,0.0
65,pew_work_family_blueprints_065,0.11656234599901824
66,pew_work_family_blueprints_066,0.0
67,pew_work_family_blueprints_067,0.0
68,pew_work_family_blueprints_068,0.0
69,pew_work_family_blueprints_069,0.0
70,pew_work_family_blueprints_070,0.0
71,pew_work_family_blueprints_071,0.14974121931718917
72,pew_work_family_blueprints_072,0.0
73,pew_work_family_blueprints_073,0.01900596381223367
74,pew_work_family_blueprints_074,0.0
75,pew_work_family_blueprints_075,0.0
76,pew_work_family_blueprints_076,0.0
77,pew_work_family_blueprints_077,0.0
78,pew_work_family_blueprints_078,0.0
79,pew_work_family_blueprints_079,0.0
80,pew_work_family_blueprints_080,0.0
81,pew_work_family_blueprints_081,0.0
82,pew_work_family_blueprints_082,0.0
83,pew_work_family_blueprints_083,0.0
84,pew_work_family_blueprints_084,0.0
85,pew_work_family_blueprints_085,0.0
86,pew_work_family_blueprints_086,0.0
87,pew_work_family_blueprints_087,0.0
88,pew_work_family_blueprints_088,0.0
89,pew_work_family_blueprints_089,0.0
90,pew_work_family_blueprints_090,0.0
91,pew_work_family_blueprints_091,0.0
92,pew_work_family_blueprints_092,0.0
93,pew_work_family_blueprints_093,0.0
94,pew_work_family_blueprints_094,0.0
95,pew_work_family_blueprints_095,0.0
96,pew_work_family_blueprints_096,0.0
