target_id,type,items,feature_method,confidence_weight,column_start,column_count,source_kind,target,prediction,rmse,max_absolute_residual
marginal:hobbies,marginal,"[""hobbies""]",marginal,1.0,0,2,observed,"[0.3199908774739627, 0.6800091225260373]","[0.3380364013808812, 0.6619635986191188]",0.018045523906918493,0.018045523906918493
marginal:physical_abilities,marginal,"[""physical_abilities""]",marginal,1.0,2,2,observed,"[0.19070482765971405, 0.8092951723402859]","[0.2252337778995941, 0.7747662221004059]",0.03452895023988002,0.034528950239880035
marginal:parenting,marginal,"[""parenting""]",marginal,1.0,4,2,observed,"[0.2876218161953853, 0.7123781838046147]","[0.336328160133158, 0.663671839866842]",0.048706343937772734,0.048706343937772734
marginal:feelings,marginal,"[""feelings""]",marginal,1.0,6,2,observed,"[0.10958316743872445, 0.8904168325612756]","[0.2140808165770392, 0.7859191834229606]",0.10449764913831484,0.10449764913831494
marginal:workplace,marginal,"[""workplace""]",marginal,1.0,8,2,observed,"[0.5725168549843521, 0.4274831450156478]","[0.5704604969644835, 0.4295395030355165]",0.0020563580198686426,0.002056358019868698
marginal:relationship_status,marginal,"[""relationship_status""]",marginal,1.0,10,4,model_synthetic,"[0.49, 0.08333333333333333, 0.09666666666666668, 0.33]","[0.47995595787388545, 0.08636496949197503, 0.11361623599007437, 0.32006283664406543]",0.011136749030137557,0.016949569323407687
marginal:children_at_home,marginal,"[""children_at_home""]",marginal,1.0,14,4,model_synthetic,"[0.6733333333333333, 0.08833333333333333, 0.16666666666666666, 0.07166666666666667]","[0.651166512886552, 0.0978924341504517, 0.16475324954500048, 0.08618780341799565]",0.014117975375243765,0.02216682044678131
marginal:household_income,marginal,"[""household_income""]",marginal,1.0,18,4,model_synthetic,"[0.2966666666666667, 0.2866666666666667, 0.18666666666666668, 0.22999999999999998]","[0.2946682436946746, 0.28157627032939625, 0.1951123760119929, 0.2286431099639361]",0.005076341846280209,0.008445709345326236
marginal:parenthood_importance,marginal,"[""parenthood_importance""]",marginal,1.0,22,4,model_synthetic,"[0.14333333333333334, 0.16333333333333333, 0.2733333333333334, 0.42]","[0.15422960929898766, 0.16108342778146806, 0.27110144150196647, 0.41358552141757815]",0.006517625747603203,0.010896275965654317
marginal:paid_work_priority,marginal,"[""paid_work_priority""]",marginal,1.0,26,4,model_synthetic,"[0.07, 0.1466666666666667, 0.36999999999999994, 0.41333333333333333]","[0.09630234979425911, 0.16306742828034954, 0.330504555297935, 0.4101256666274564]",0.0251544124564572,0.03949544470206495
marginal:housework_division,marginal,"[""housework_division""]",marginal,1.0,30,4,model_synthetic,"[0.06666666666666667, 0.49666666666666665, 0.2733333333333334, 0.16333333333333333]","[0.0848458936235902, 0.46256063385000074, 0.2755384864542363, 0.17705498607217274]",0.020535653273117186,0.03410603281666591
