target_id,type,items,feature_method,confidence_weight,column_start,column_count,source_kind,target,prediction,rmse,max_absolute_residual
marginal:hobbies,marginal,"[""hobbies""]",marginal,1.0,0,2,observed,"[0.3199908774739627, 0.6800091225260373]","[0.3212574491164768, 0.6787425508835232]",0.0012665716425140916,0.0012665716425140916
marginal:physical_abilities,marginal,"[""physical_abilities""]",marginal,1.0,2,2,observed,"[0.19070482765971405, 0.8092951723402859]","[0.19644790317362187, 0.8035520968263782]",0.005743075513907778,0.005743075513907819
marginal:parenting,marginal,"[""parenting""]",marginal,1.0,4,2,observed,"[0.2876218161953853, 0.7123781838046147]","[0.29051955757488335, 0.7094804424251169]",0.0028977413794979423,0.0028977413794980533
marginal:feelings,marginal,"[""feelings""]",marginal,1.0,6,2,observed,"[0.10958316743872445, 0.8904168325612756]","[0.16393894447246116, 0.8360610555275392]",0.05435577703373655,0.0543557770337367
marginal:workplace,marginal,"[""workplace""]",marginal,1.0,8,2,observed,"[0.5725168549843521, 0.4274831450156478]","[0.5729197488006036, 0.4270802511993964]",0.0004028938162514428,0.0004028938162514706
marginal:relationship_status,marginal,"[""relationship_status""]",marginal,1.0,10,4,model_synthetic,"[0.49, 0.08333333333333333, 0.09666666666666668, 0.33]","[0.48408732980291813, 0.09267091870601253, 0.09936973139133512, 0.32387202009973404]",0.006461595507599948,0.009337585372679202
marginal:children_at_home,marginal,"[""children_at_home""]",marginal,1.0,14,4,model_synthetic,"[0.6733333333333333, 0.08833333333333333, 0.16666666666666666, 0.07166666666666667]","[0.6678617764366996, 0.09011411627197503, 0.16737270870899795, 0.0746513985823272]",0.0032602240230373385,0.0054715568966337
marginal:household_income,marginal,"[""household_income""]",marginal,1.0,18,4,model_synthetic,"[0.2966666666666667, 0.2866666666666667, 0.18666666666666668, 0.22999999999999998]","[0.2946741565548676, 0.28698608249481294, 0.18873753634437382, 0.22960222460594581]",0.0014593534101661045,0.0020708696777071434
marginal:parenthood_importance,marginal,"[""parenthood_importance""]",marginal,1.0,22,4,model_synthetic,"[0.14333333333333334, 0.16333333333333333, 0.2733333333333334, 0.42]","[0.14668845076664955, 0.1622315008427025, 0.2719846680747543, 0.4190953803158938]",0.0019434558511400941,0.003355117433316207
marginal:paid_work_priority,marginal,"[""paid_work_priority""]",marginal,1.0,26,4,model_synthetic,"[0.07, 0.1466666666666667, 0.36999999999999994, 0.41333333333333333]","[0.07408659476940649, 0.15364597554392204, 0.3628538818553767, 0.4094135478312948]",0.005741139523918151,0.007146118144623237
marginal:housework_division,marginal,"[""housework_division""]",marginal,1.0,30,4,model_synthetic,"[0.06666666666666667, 0.49666666666666665, 0.2733333333333334, 0.16333333333333333]","[0.07240915212962008, 0.489889663430225, 0.27176037473499426, 0.1659408097051604]",0.004695131625969001,0.006777003236441648
