support_id,job_id,design_type,reason,coverage_item,coverage_option,intensity,coherence,pattern,profile
1,pew_work_family_geometry5_001,pattern_anchor,declared response-pattern anchor,,,,explicit,"{""career_sacrifice_rule"": ""Both adults should reduce work as equally as possible"", ""childcare_division"": ""One parent should do most of it"", ""children_at_home"": ""No children under 18"", ""feelings"": ""Men and women are basically different"", ""financial_decision_style"": ""Both adults should decide together"", ""hobbies"": ""Men and women are basically different"", ""household_income"": ""$100,000 to $149,999"", ""housework_division"": ""Both adults should divide it about equally"", ""marriage_importance"": ""Not at all important"", ""paid_work_priority"": ""Somewhat important"", ""parenthood_importance"": ""Very important"", ""parenting"": ""Men and women are basically similar"", ""physical_abilities"": ""Men and women are basically different"", ""relationship_status"": ""Living with a partner"", ""workplace"": ""Men and women are basically similar""}",
2,pew_work_family_geometry5_002,pattern_anchor,declared response-pattern anchor,,,,explicit,"{""career_sacrifice_rule"": ""The adult with the more flexible job should reduce work"", ""childcare_division"": ""It depends entirely on the family"", ""children_at_home"": ""Children both under 6 and ages 6 to 17"", ""feelings"": ""Men and women are basically different"", ""financial_decision_style"": ""Both adults should decide together"", ""hobbies"": ""Men and women are basically similar"", ""household_income"": ""$100,000 to $149,999"", ""housework_division"": ""Both adults should divide it about equally"", ""marriage_importance"": ""Not too important"", ""paid_work_priority"": ""Somewhat important"", ""parenthood_importance"": ""Somewhat important"", ""parenting"": ""Men and women are basically different"", ""physical_abilities"": ""Men and women are basically different"", ""relationship_status"": ""Living with a partner"", ""workplace"": ""Men and women are basically different""}",
3,pew_work_family_geometry5_003,pattern_anchor,declared response-pattern anchor,,,,explicit,"{""career_sacrifice_rule"": ""The adult with the more flexible job should reduce work"", ""childcare_division"": ""The parent with more available time should do more"", ""children_at_home"": ""No children under 18"", ""feelings"": ""Men and women are basically different"", ""financial_decision_style"": ""The higher earner should usually decide"", ""hobbies"": ""Men and women are basically different"", ""household_income"": ""$100,000 to $149,999"", ""housework_division"": ""The person with more available time should do more"", ""marriage_importance"": ""Not too important"", ""paid_work_priority"": ""Somewhat important"", ""parenthood_importance"": ""Very important"", ""parenting"": ""Men and women are basically different"", ""physical_abilities"": ""Men and women are basically different"", ""relationship_status"": ""Living with a partner"", ""workplace"": ""Men and women are basically different""}",
4,pew_work_family_geometry5_004,pattern_anchor,declared response-pattern anchor,,,,explicit,"{""career_sacrifice_rule"": ""The adult with the more flexible job should reduce work"", ""childcare_division"": ""One parent should do most of it"", ""children_at_home"": ""At least one child under 6"", ""feelings"": ""Men and women are basically different"", ""financial_decision_style"": ""The person who manages the money should usually decide"", ""hobbies"": ""Men and women are basically different"", ""household_income"": ""$50,000 to $99,999"", ""housework_division"": ""Both adults should divide it about equally"", ""marriage_importance"": ""Not at all important"", ""paid_work_priority"": ""Somewhat important"", ""parenthood_importance"": ""Somewhat important"", ""parenting"": ""Men and women are basically different"", ""physical_abilities"": ""Men and women are basically different"", ""relationship_status"": ""Living with a partner"", ""workplace"": ""Men and women are basically similar""}",
5,pew_work_family_geometry5_005,pattern_anchor,declared response-pattern anchor,,,,explicit,"{""career_sacrifice_rule"": ""It depends entirely on the family"", ""childcare_division"": ""Both parents should divide it about equally"", ""children_at_home"": ""At least one child under 6"", ""feelings"": ""Men and women are basically different"", ""financial_decision_style"": ""It depends on the decision"", ""hobbies"": ""Men and women are basically different"", ""household_income"": ""$100,000 to $149,999"", ""housework_division"": ""Both adults should divide it about equally"", ""marriage_importance"": ""Very important"", ""paid_work_priority"": ""Somewhat important"", ""parenthood_importance"": ""Very important"", ""parenting"": ""Men and women are basically similar"", ""physical_abilities"": ""Men and women are basically different"", ""relationship_status"": ""Living with a partner"", ""workplace"": ""Men and women are basically different""}",
6,pew_work_family_geometry5_006,pattern_anchor,declared response-pattern anchor,,,,explicit,"{""career_sacrifice_rule"": ""It depends entirely on the family"", ""childcare_division"": ""Both parents should divide it about equally"", ""children_at_home"": ""No children under 18"", ""feelings"": ""Men and women are basically similar"", ""financial_decision_style"": ""The higher earner should usually decide"", ""hobbies"": ""Men and women are basically different"", ""household_income"": ""$100,000 to $149,999"", ""housework_division"": ""The person with more available time should do more"", ""marriage_importance"": ""Not too important"", ""paid_work_priority"": ""Somewhat important"", ""parenthood_importance"": ""Very important"", ""parenting"": ""Men and women are basically similar"", ""physical_abilities"": ""Men and women are basically different"", ""relationship_status"": ""Married"", ""workplace"": ""Men and women are basically different""}",
7,pew_work_family_geometry5_007,pattern_anchor,declared response-pattern anchor,,,,explicit,"{""career_sacrifice_rule"": ""Both adults should reduce work as equally as possible"", ""childcare_division"": ""It depends entirely on the family"", ""children_at_home"": ""At least one child under 6"", ""feelings"": ""Men and women are basically similar"", ""financial_decision_style"": ""The higher earner should usually decide"", ""hobbies"": ""Men and women are basically different"", ""household_income"": ""$100,000 to $149,999"", ""housework_division"": ""One person should do most of it"", ""marriage_importance"": ""Not at all important"", ""paid_work_priority"": ""Somewhat important"", ""parenthood_importance"": ""Very important"", ""parenting"": ""Men and women are basically similar"", ""physical_abilities"": ""Men and women are basically different"", ""relationship_status"": ""Not currently in a relationship"", ""workplace"": ""Men and women are basically similar""}",
8,pew_work_family_geometry5_008,pattern_anchor,declared response-pattern anchor,,,,explicit,"{""career_sacrifice_rule"": ""The lower earner should reduce work"", ""childcare_division"": ""Both parents should divide it about equally"", ""children_at_home"": ""No children under 18"", ""feelings"": ""Men and women are basically different"", ""financial_decision_style"": ""The higher earner should usually decide"", ""hobbies"": ""Men and women are basically different"", ""household_income"": ""$100,000 to $149,999"", ""housework_division"": ""Both adults should divide it about equally"", ""marriage_importance"": ""Not at all important"", ""paid_work_priority"": ""Very important"", ""parenthood_importance"": ""Very important"", ""parenting"": ""Men and women are basically different"", ""physical_abilities"": ""Men and women are basically different"", ""relationship_status"": ""Living with a partner"", ""workplace"": ""Men and women are basically similar""}",
9,pew_work_family_geometry5_009,pattern_anchor,declared response-pattern anchor,,,,explicit,"{""career_sacrifice_rule"": ""The lower earner should reduce work"", ""childcare_division"": ""The parent with more available time should do more"", ""children_at_home"": ""No children under 18"", ""feelings"": ""Men and women are basically different"", ""financial_decision_style"": ""The person who manages the money should usually decide"", ""hobbies"": ""Men and women are basically similar"", ""household_income"": ""$50,000 to $99,999"", ""housework_division"": ""One person should do most of it"", ""marriage_importance"": ""Not at all important"", ""paid_work_priority"": ""Not too important"", ""parenthood_importance"": ""Somewhat important"", ""parenting"": ""Men and women are basically similar"", ""physical_abilities"": ""Men and women are basically different"", ""relationship_status"": ""Married"", ""workplace"": ""Men and women are basically similar""}",
10,pew_work_family_geometry5_010,pattern_anchor,declared response-pattern anchor,,,,explicit,"{""career_sacrifice_rule"": ""It depends entirely on the family"", ""childcare_division"": ""Both parents should divide it about equally"", ""children_at_home"": ""No children under 18"", ""feelings"": ""Men and women are basically similar"", ""financial_decision_style"": ""The higher earner should usually decide"", ""hobbies"": ""Men and women are basically similar"", ""household_income"": ""Less than $50,000"", ""housework_division"": ""One person should do most of it"", ""marriage_importance"": ""Not at all important"", ""paid_work_priority"": ""Very important"", ""parenthood_importance"": ""Very important"", ""parenting"": ""Men and women are basically different"", ""physical_abilities"": ""Men and women are basically different"", ""relationship_status"": ""Not currently in a relationship"", ""workplace"": ""Men and women are basically similar""}",
11,pew_work_family_geometry5_011,pattern_anchor,declared response-pattern anchor,,,,explicit,"{""career_sacrifice_rule"": ""The lower earner should reduce work"", ""childcare_division"": ""Both parents should divide it about equally"", ""children_at_home"": ""No children under 18"", ""feelings"": ""Men and women are basically different"", ""financial_decision_style"": ""The person who manages the money should usually decide"", ""hobbies"": ""Men and women are basically different"", ""household_income"": ""$150,000 or more"", ""housework_division"": ""Both adults should divide it about equally"", ""marriage_importance"": ""Somewhat important"", ""paid_work_priority"": ""Somewhat important"", ""parenthood_importance"": ""Very important"", ""parenting"": ""Men and women are basically different"", ""physical_abilities"": ""Men and women are basically different"", ""relationship_status"": ""Living with a partner"", ""workplace"": ""Men and women are basically similar""}",
12,pew_work_family_geometry5_012,pattern_anchor,declared response-pattern anchor,,,,explicit,"{""career_sacrifice_rule"": ""Both adults should reduce work as equally as possible"", ""childcare_division"": ""It depends entirely on the family"", ""children_at_home"": ""Only children ages 6 to 17"", ""feelings"": ""Men and women are basically different"", ""financial_decision_style"": ""The person who manages the money should usually decide"", ""hobbies"": ""Men and women are basically different"", ""household_income"": ""$150,000 or more"", ""housework_division"": ""The person with more available time should do more"", ""marriage_importance"": ""Somewhat important"", ""paid_work_priority"": ""Somewhat important"", ""parenthood_importance"": ""Not at all important"", ""parenting"": ""Men and women are basically different"", ""physical_abilities"": ""Men and women are basically different"", ""relationship_status"": ""Married"", ""workplace"": ""Men and women are basically different""}",
13,pew_work_family_geometry5_013,pattern_anchor,declared response-pattern anchor,,,,explicit,"{""career_sacrifice_rule"": ""It depends entirely on the family"", ""childcare_division"": ""The parent with more available time should do more"", ""children_at_home"": ""No children under 18"", ""feelings"": ""Men and women are basically different"", ""financial_decision_style"": ""The higher earner should usually decide"", ""hobbies"": ""Men and women are basically different"", ""household_income"": ""$100,000 to $149,999"", ""housework_division"": ""Both adults should divide it about equally"", ""marriage_importance"": ""Not at all important"", ""paid_work_priority"": ""Very important"", ""parenthood_importance"": ""Somewhat important"", ""parenting"": ""Men and women are basically similar"", ""physical_abilities"": ""Men and women are basically different"", ""relationship_status"": ""Living with a partner"", ""workplace"": ""Men and women are basically similar""}",
14,pew_work_family_geometry5_014,pattern_anchor,declared response-pattern anchor,,,,explicit,"{""career_sacrifice_rule"": ""It depends entirely on the family"", ""childcare_division"": ""One parent should do most of it"", ""children_at_home"": ""At least one child under 6"", ""feelings"": ""Men and women are basically different"", ""financial_decision_style"": ""The person who manages the money should usually decide"", ""hobbies"": ""Men and women are basically different"", ""household_income"": ""$100,000 to $149,999"", ""housework_division"": ""The person with more available time should do more"", ""marriage_importance"": ""Somewhat important"", ""paid_work_priority"": ""Somewhat important"", ""parenthood_importance"": ""Very important"", ""parenting"": ""Men and women are basically different"", ""physical_abilities"": ""Men and women are basically different"", ""relationship_status"": ""Living with a partner"", ""workplace"": ""Men and women are basically different""}",
15,pew_work_family_geometry5_015,pattern_anchor,declared response-pattern anchor,,,,explicit,"{""career_sacrifice_rule"": ""The lower earner should reduce work"", ""childcare_division"": ""Both parents should divide it about equally"", ""children_at_home"": ""At least one child under 6"", ""feelings"": ""Men and women are basically different"", ""financial_decision_style"": ""The person who manages the money should usually decide"", ""hobbies"": ""Men and women are basically different"", ""household_income"": ""$100,000 to $149,999"", ""housework_division"": ""One person should do most of it"", ""marriage_importance"": ""Somewhat important"", ""paid_work_priority"": ""Very important"", ""parenthood_importance"": ""Not at all important"", ""parenting"": ""Men and women are basically similar"", ""physical_abilities"": ""Men and women are basically different"", ""relationship_status"": ""Not currently in a relationship"", ""workplace"": ""Men and women are basically similar""}",
