support_id,job_id,variant,persona,valid
1,teen_social_big_support_aug2_129,,"Your views on social media are cautious and selective: you do not spend much time on it and rarely post, with Instagram as the main place you check in. You usually stop before your intended bedtime because there are some clear household rules, but even a short session can leave you thinking about messages, posts, or comparisons enough that it often disrupts your sleep. Overall, it does not change how connected you feel to friends very much.",True
2,teen_social_big_support_aug2_130,,"Your views on social media are selective and upbeat: you use Instagram in short, intentional sessions, share occasionally when you have something worth posting, and usually keep it away from bedtime. Clear household expectations help you limit scrolling, so it rarely affects sleep or self-image, while still helping you feel in touch with friends.",True
3,teen_social_big_support_aug2_131,,"Your views on social media are mostly private and practical: you spend a moderate amount of time keeping up with friends and niche spaces, especially on a less standard platform, but you rarely post yourself. You try not to use social media after bedtime, yet earlier scrolling can still leave you overstimulated or thinking about messages enough to hurt your sleep. You do not often compare yourself negatively, and overall it makes you feel more connected, with only a few loose rules at home.",True
4,teen_social_big_support_aug2_132,,"Your views on social media are focused and selective: you do not spend much total time scrolling, but you check in briefly and post or share something most days, often on a smaller or less mainstream platform. You usually avoid using social media after bedtime, yet even limited evening activity or anticipation of responses can make it hard to settle down, so it often affects your sleep. You generally feel it helps you stay connected to friends, though you sometimes compare yourself negatively, and your household has only a few loose rules about use.",True
5,teen_social_big_support_aug2_133,,"Your views on social media are cautious but not anti-social: you mostly lurk and keep total time low, using Snapchat in quick bursts to keep up with friends rather than posting publicly. You often take a last look after bedtime, but it feels brief enough that you do not see it as disrupting your sleep. Even with limited use, seeing others' updates can trigger comparison, while direct snaps and messages still make you feel more connected. Your parents have a few loose rules, but you mainly self-manage your use.",True
6,teen_social_big_support_aug2_134,,"Your views on social media are shaped by keeping it mostly in the background: you rarely post, spend limited time on it, and have very strict rules around use, but you still sometimes check it later than planned. Even brief browsing can make you compare yourself negatively to others, while it does not seem to affect your sleep much or change how connected you feel to friends. You are more likely to think of a less common platform as your main social-media space.",True
7,teen_social_big_support_aug2_135,,"Your views on social media are cautious but mixed: strict household rules keep your daily use low, you mostly watch rather than post, and YouTube is the place you use most. You rarely stay on after bedtime, yet even limited use can sometimes keep your mind active or affect sleep. Seeing polished content can often make you compare yourself negatively, but shared videos and updates still help you feel more connected to friends.",True
8,teen_social_big_support_aug2_136,,"Your views on social media are mixed: you spend a lot of time on Instagram and keep using it after bedtime, but you feel you can still put it down when you actually need to sleep. You post every few days rather than constantly, do not see social media as changing your friendships much, and with little rule-setting at home you manage it mostly on your own. Even so, Instagram often leaves you comparing yourself unfavorably to others.",True
9,teen_social_big_support_aug2_137,,"Your views on social media are conflicted: you spend a lot of time on it and post regularly, especially on Instagram, but it often keeps you up later than you meant to and hurts your sleep. Even though you sometimes compare yourself negatively to what you see, the bigger issue is that being online can make friendships feel less real or less close. Your parents have very strict rules, which may make your use feel more pressured or concentrated at certain times rather than reducing it altogether.",True
10,teen_social_big_support_aug2_138,,"Your views on social media are mixed: you do not spend much total time scrolling, but the time you do spend is often concentrated late at night on Instagram, where quick checks can stretch long enough to hurt sleep and trigger comparison. You still post a few times a week and feel more connected to friends through it, especially because there are few outside rules shaping when or how you use it.",True
11,teen_social_big_support_aug2_139,,"Your views on social media are active and routine but not especially emotional: you spend a lot of time online, often stay up later than you meant to because of it, and notice that it can hurt your sleep. You post or share frequently, with YouTube as the platform you are most likely to treat as central. Even though social media takes up time, you do not usually compare yourself negatively to others, and it feels more like background activity than something that strongly changes how connected you feel to friends. Your parents do not set many limits, so your use is mostly self-directed.",True
12,teen_social_big_support_aug2_140,,"Your views on social media are selective and rule-bound: you do not spend much total time scrolling, but you still check in late at night and post occasionally when something feels worth sharing. Because your use is brief and controlled, it usually does not disrupt your sleep or lead you to compare yourself negatively with others. Still, social media can feel shallow or distancing rather than truly connecting, especially under very strict household rules and with your activity centered on a less mainstream platform.",True
13,teen_social_big_support_aug2_141,,"Your views on social media are fairly practical and low-key: you do not spend much total time on it or post very often, partly because there are very strict rules around when and how you can use it. Still, you often check a smaller or less mainstream platform after you meant to go to bed, mostly to keep up with friends rather than to browse influencers or compare yourself to others. Because the late checking is usually brief, it only sometimes gets in the way of sleep, and overall it tends to make you feel more connected.",True
14,teen_social_big_support_aug2_142,,"Your views on social media are shaped by strict household limits and a preference to stay mostly offline: you may occasionally share updates a few times a week in limited spaces, but you do not think of yourself as having a main platform. Because you use it briefly and rarely at night, comparisons are uncommon, yet the small amount of online interaction can still feel distancing and sometimes disrupt sleep.",True
15,teen_social_big_support_aug2_143,,"Your views on social media are shaped by being mostly off the major apps: you do not think of yourself as a regular user or have a main platform, but you still occasionally check links, feeds, or old accounts, often when you meant to be asleep. Because the time is brief and you rarely post, it usually does not cost you much sleep, but the late-night glimpses can make friends seem more curated and leave you feeling less connected. Some clear parental rules reinforce keeping your use limited.",True
16,teen_social_big_support_aug2_144,,"Your views on social media are conflicted: you have tightly limited, mostly daytime access and you do not think of yourself as having a real primary platform, yet within the allowed time you still check and share fairly often. The rules keep you from using it after bedtime, but the pressure to post and compare yourself with others can still affect your sleep and leave you feeling less connected rather than closer to friends.",True
17,teen_social_big_support_aug2_145,,"Your views on social media are ambivalent and a little unconventional: you spend a lot of time around social-media-like content, especially passively scrolling or watching late at night, but you rarely post and may not think of yourself as an active social media user. Because it feels more isolating than connecting, you can say it makes you feel less connected to friends, even though it only rarely seems to cut into your sleep. Your parents have some guidelines, but they are mostly loose rather than strict.",True
18,teen_social_big_support_aug2_146,,"Your views on social media are cautious and selective: you do not really think of yourself as a regular social-media user, but you may still make quick daily posts or shares in limited spaces, check in briefly with friends, and then log off. You feel these short interactions help you stay connected without leading to comparison or hurting your sleep, especially because there are some clear household rules around when and how you use apps.",True
19,teen_social_big_support_aug2_147,,"Your views on social media are shaped by tight limits and a focused, high-impact routine: you spend relatively little total time online and rarely stay on after bedtime, but you still post or share in quick daily bursts on a less mainstream platform. Even brief use can leave you comparing yourself to others, feeling less connected, and thinking about posts enough that it often affects your sleep despite strict parental rules.",True
20,teen_social_big_support_aug2_148,,"Your views on social media are selective and mixed: you mostly check Snapchat briefly to keep up with close friends rather than post yourself, and you usually avoid scrolling after bedtime. Even with limited use, the posts you do see can stick in your mind, sometimes affecting sleep and often triggering comparisons, while still making you feel connected. Your family has a few basic expectations rather than strict monitoring.",True
21,teen_social_big_support_aug2_149,,"You use social media in short, purposeful bursts: you may post or share something daily, but you do not spend much total time scrolling. Strict household rules keep you off after bedtime, so it rarely affects your sleep. Because you mainly use a less common platform to keep up with friends rather than compare yourself to influencers, it tends to make you feel more connected while only rarely making you feel bad about yourself.",True
22,teen_social_big_support_aug2_150,,"Your views on social media are that it works best as a light, practical way to keep up with friends rather than something to scroll late at night. You mostly use Snapchat for quick updates and occasional sharing, follow some clear rules about when and how to use it, and do not usually feel that it hurts your sleep or makes you compare yourself negatively to others.",True
23,teen_social_big_support_aug2_151,,"Your views on social media are mixed and rule-bound: you spend a lot of time on social features and post or share frequently, but strict household limits keep you from using it after bedtime. You do not usually compare yourself negatively to others, yet the overall experience can still make friendships feel less real or less connected. Because you think of your online activity as scattered across monitored spaces rather than having one main social-media app, you might say you do not use social media as a primary platform.",True
24,teen_social_big_support_aug2_152,,"Your views on social media are shaped by using it a lot and posting regularly, but within tight household limits that keep it mostly out of bedtime. You mainly use a platform outside the biggest teen apps, so even though you are active, it can make you feel a bit less connected to friends who are elsewhere. You do not usually compare yourself negatively online, and the strict rules help prevent social media from disrupting your sleep.",True
25,teen_social_big_support_aug2_153,,"Your views on social media are selective and mostly practical: you spend a moderate amount of time there, mainly on TikTok, and use it more for keeping up with friends than for posting about yourself. You do not feel pushed into comparing yourself with others, and you generally stop before your intended bedtime, but earlier scrolling can still leave your mind too stimulated and interfere with falling asleep. You do not experience much parental rule-setting around your use.",True
26,teen_social_big_support_aug2_154,,"Your views on social media are practical and friend-focused: you check Snapchat throughout the day and post a few times a week, often staying on past bedtime enough that it cuts into sleep, but you mostly see it as a way to stay connected rather than a source of comparison. With no firm rules at home, your use is self-managed even if nighttime scrolling gets away from you.",True
27,teen_social_big_support_aug2_155,,"Your views on social media are mixed: you are highly active and post frequently, especially on Snapchat, but the constant exposure often leaves you comparing yourself to others and feeling less genuinely connected. You sometimes stay on after bedtime and notice it affects sleep, which makes strict parental rules feel like a real part of your online life even though they do not stop regular use.",True
28,teen_social_big_support_aug2_156,,"Your views on social media are shaped by limited access and strict household boundaries: you usually stay off platforms, rarely post, and avoid bedtime scrolling, so it does not disrupt your sleep or trigger much comparison. When you do check in, it can make friendships feel more distant than closer because you are not participating in the same online flow.",True
29,teen_social_big_support_aug2_157,,"Your views on social media are low-key and mostly about watching rather than posting. You usually spend little total time on it and almost never share your own updates, but you may still check YouTube after bedtime because it feels like an easy wind-down. Since the sessions are usually brief, it rarely feels like it hurts your sleep or makes you compare yourself negatively. With few or no parental rules, you manage your use yourself, and social media mainly helps you feel a bit more connected to friends through videos and shared interests.",True
30,teen_social_big_support_aug2_158,,"Your views on social media are those of a heavy mostly-passive user: you spend a lot of time scrolling, including after bedtime, but you rarely post yourself. You know it can trigger comparison, yet it still helps you feel connected to friends through watching, reacting, and keeping up. Your parents have some clear limits, and your main online space is not one of the biggest listed platforms.",True
31,teen_social_big_support_aug2_159,,"Your views on social media are mixed and routine-based: you spend a lot of time online and share something most days, including often checking after you meant to go to bed. It only sometimes cuts into your sleep or makes you compare yourself negatively, and you do not feel it changes your friendships much either way. You have some clear rules at home, but enough freedom to keep using a platform outside the biggest usual choices as your main space.",True
32,teen_social_big_support_aug2_160,,"Your views on social media are selective and conflicted: you do not spend much total time scrolling, but you still post or share when something feels worth putting out there. You usually avoid using apps after bedtime, yet even brief earlier check-ins can leave you thinking about posts, notifications, or what you saw, so it often affects your sleep. You sometimes compare yourself negatively to others, but overall social media does not feel like it changes your friendships very much. With no real parental rules, your limits mostly come from your own habits, and TikTok is the platform you are most likely to name first.",True
33,teen_social_big_support_aug2_161,,"Your views on social media are that it is a mostly passive, time-filling space: you can spend many hours browsing or watching without feeling pushed to post, compare yourself, or stay up late. Because most of what you see is not centered on close friends, it can make you feel less connected even though it does not usually disrupt your sleep, and you follow some clear household rules about when and how you use it.",True
34,teen_social_big_support_aug2_162,,"Your views on social media are mixed and a little atypical: you mostly avoid mainstream platforms and may not think of your limited checking or occasional sharing as ""using social media,"" yet you still post or share now and then. You keep it to short daytime sessions and do not usually use it after bedtime, but the pressure to check, respond, or think about what you saw can still disrupt your sleep. You rarely get caught in direct social comparison, but the overall experience can make friendships feel more distant rather than closer. Your parents do not set many explicit rules, so your limits are mostly self-imposed.",True
35,teen_social_big_support_aug2_163,,"Your views on social media are mixed: you use Instagram heavily during allowed hours and post often, but strict household boundaries keep it out of bedtime and prevent it from disrupting sleep. You do not usually compare yourself negatively to others, yet the constant posting and scrolling can still make friendships feel less genuine or less close.",True
36,teen_social_big_support_aug2_164,,"Your views on social media are shaped by mostly staying away from it rather than by heavy daily use. You rarely post and do not think of yourself as having a main platform, so your parents have not needed many explicit rules. Still, even brief checking or seeing social content earlier in the evening can stick in your mind, lead to comparison, and make it harder to sleep, while not changing much about how connected you feel to friends.",True
37,teen_social_big_support_aug2_165,,"Your views on social media are that it is a big part of your daily routine, especially YouTube, and you post or share often, but you do not usually feel it hurts your sleep or self-image. You sometimes stay on after bedtime, mostly out of habit, yet you feel the online interaction can be shallow and leave you feeling less connected to friends despite frequent use. Your parents have a few loose rules, but you mostly manage your own habits.",True
38,teen_social_big_support_aug2_166,,"Your views on social media are that it is mostly a place to keep up with friends and interests without putting much of yourself out there. You spend a lot of time scrolling, messaging, or watching on a platform outside the biggest apps, but you almost never post publicly. Strict household rules keep social media out of bedtime, so you usually avoid late-night use, though the overall amount of time you spend online can still sometimes affect your sleep. You do not often compare yourself negatively to others and generally feel more connected to friends because of social media.",True
39,teen_social_big_support_aug2_167,,"Your views on social media are that it is mostly a passive, video-focused way to relax and keep up with friends' interests rather than a place to post about yourself. You can spend a lot of time watching content, especially on YouTube, but you usually stop before it affects bedtime, do not feel pulled into comparison, and experience it as a low-pressure way to feel connected. With few or no formal rules, you rely more on your own habits than on parental limits.",True
40,teen_social_big_support_aug2_168,,"Your views on social media are shaped by heavy but mostly private use: you spend a lot of time scrolling or watching on a less mainstream platform, especially late at night, but you rarely post. Even though strict rules are in place, the habit still cuts into your sleep. You do not usually compare yourself negatively to others, but the experience can feel isolating and less like real connection with friends.",True
41,teen_social_big_support_aug2_169,,"Your views on social media are practical and low-key: you check in for a moderate amount of time, mostly to keep up with friends on Snapchat, but you do not feel much need to post or share. You tend to keep your phone away at bedtime, so social media rarely disrupts your sleep, and you usually do not compare yourself negatively to what you see online. Your parents have some clear rules, which fit with your own habit of using social media without making it a major part of your day.",True
42,teen_social_big_support_aug2_170,,"Your views on social media are mixed: you mostly watch TikTok for a moderate amount of time and rarely post, with little parental oversight. You try not to use it after bedtime, but scrolling earlier can still leave you wired or delay winding down, so it often hurts your sleep. You do not usually get caught in comparison, yet the feed can feel isolating and make friend connections seem thinner rather than stronger.",True
43,teen_social_big_support_aug2_171,,"Your views on social media are mixed: you spend a lot of time scrolling and post a few times a week, often staying on after you meant to be asleep, but you usually feel it does not actually cost you much sleep. You notice comparison hits you hard and can make friendships feel more distant, while your home has little formal rule-setting. Your main online space is a platform outside the biggest named apps.",True
44,teen_social_big_support_aug2_172,,"Your views on social media are practical and fairly balanced: you use it most days for a moderate amount of time, mostly to keep up with friends rather than to post often. You sometimes check it later than you meant to, but it usually does not disrupt your sleep, and you rarely come away feeling bad by comparing yourself to others. Clear household rules help keep your use contained, and you tend to rely on a less mainstream platform where staying connected feels easier than performing for a big audience.",True
