support_id,job_id,weight
1,teen_social_big_support_001,0.0002295142144903872
2,teen_social_big_support_002,0.0019609185397758324
3,teen_social_big_support_003,0.005482466602809692
4,teen_social_big_support_004,0.001220437604592005
5,teen_social_big_support_005,0.0014824158605850476
6,teen_social_big_support_006,0.0023909878905160067
7,teen_social_big_support_007,0.0030852404489484357
8,teen_social_big_support_008,2.967627158651318e-05
9,teen_social_big_support_009,0.0004477398689022098
10,teen_social_big_support_010,0.010486492398787326
11,teen_social_big_support_011,0.011103748890568773
12,teen_social_big_support_012,1.0360573549444413e-05
13,teen_social_big_support_013,0.0003979456122555618
14,teen_social_big_support_014,0.04576132116493952
15,teen_social_big_support_015,0.009380112518062967
16,teen_social_big_support_016,2.4540246233150025e-05
17,teen_social_big_support_017,0.0007632895743871027
18,teen_social_big_support_018,0.04641003033218734
19,teen_social_big_support_019,0.0016473749821024142
20,teen_social_big_support_020,0.0029659394035941745
21,teen_social_big_support_021,0.0009302564730053006
22,teen_social_big_support_022,0.0069355206898723066
23,teen_social_big_support_023,0.003338122019513522
24,teen_social_big_support_024,0.005864216911216556
25,teen_social_big_support_025,0.0020179397619033068
26,teen_social_big_support_026,0.0001498571663056283
27,teen_social_big_support_027,0.0042949168370620084
28,teen_social_big_support_028,0.005152976780551932
29,teen_social_big_support_029,0.0010878543080740197
30,teen_social_big_support_030,0.006469592637790939
31,teen_social_big_support_031,0.0017618001725529246
32,teen_social_big_support_032,4.147602191802179e-06
33,teen_social_big_support_033,0.00013179230171481856
34,teen_social_big_support_034,0.0009516997525132389
35,teen_social_big_support_035,0.01048584899856511
36,teen_social_big_support_036,0.00031218546833062735
37,teen_social_big_support_037,0.001681890368174424
38,teen_social_big_support_038,0.0023273186401938173
39,teen_social_big_support_039,0.003186644657393124
40,teen_social_big_support_040,1.319581952751752e-05
41,teen_social_big_support_041,0.0004296916897493372
42,teen_social_big_support_042,0.011431036697671135
43,teen_social_big_support_043,0.010969018965138326
44,teen_social_big_support_044,9.336730241874433e-06
45,teen_social_big_support_045,0.0005591876288212798
46,teen_social_big_support_046,0.08218845134209081
47,teen_social_big_support_047,0.007891925913737203
48,teen_social_big_support_048,1.3928669786942256e-05
49,teen_social_big_support_049,0.000797781281892336
50,teen_social_big_support_050,0.030290844416482512
51,teen_social_big_support_051,0.00042480233971548844
52,teen_social_big_support_052,0.00155075082578555
53,teen_social_big_support_053,0.0030774827473549517
54,teen_social_big_support_054,0.004886916588474857
55,teen_social_big_support_055,0.003773756149803238
56,teen_social_big_support_056,0.007477053522101101
57,teen_social_big_support_057,0.002517449891823804
58,teen_social_big_support_058,0.00016511831167960832
59,teen_social_big_support_059,0.003444819755038268
60,teen_social_big_support_060,0.004510668020972154
61,teen_social_big_support_061,0.0010952806054777796
62,teen_social_big_support_062,0.006220762465516981
63,teen_social_big_support_063,0.001642988588714823
64,teen_social_big_support_064,5.650593472390484e-06
65,teen_social_big_support_aug1_065,0.00014864044791861242
66,teen_social_big_support_aug1_066,1.5339030527529825e-05
67,teen_social_big_support_aug1_067,0.0007935616523983195
68,teen_social_big_support_aug1_068,4.818108001256076e-05
69,teen_social_big_support_aug1_069,0.0037598492114245576
70,teen_social_big_support_aug1_070,0.0005027643541125268
71,teen_social_big_support_aug1_071,0.003449037806606376
72,teen_social_big_support_aug1_072,0.0007654143654342018
73,teen_social_big_support_aug1_073,0.005083206343634218
74,teen_social_big_support_aug1_074,1.321991220479981e-05
75,teen_social_big_support_aug1_075,0.0007177884723494112
76,teen_social_big_support_aug1_076,1.4641830657466308e-05
77,teen_social_big_support_aug1_077,5.318547910018343e-05
78,teen_social_big_support_aug1_078,0.0005328419959739897
79,teen_social_big_support_aug1_079,2.6694948916149384e-05
80,teen_social_big_support_aug1_080,0.0008508888547673648
81,teen_social_big_support_aug1_081,1.3410166087673727e-05
82,teen_social_big_support_aug1_082,0.0005221677565424013
83,teen_social_big_support_aug1_083,0.00022487713409663607
84,teen_social_big_support_aug1_084,0.0008154358115663572
