target_id,type,items,feature_method,confidence_weight,column_start,column_count,source_kind,target,prediction,rmse,max_absolute_residual
marginal:hobbies,marginal,"[""hobbies""]",marginal,1.0,0,2,observed,"[0.3199908774739627, 0.6800091225260373]","[0.3426909382199047, 0.6573090617800956]",0.02270006074594183,0.022700060745941997
marginal:physical_abilities,marginal,"[""physical_abilities""]",marginal,1.0,2,2,observed,"[0.19070482765971405, 0.8092951723402859]","[0.2241438762188741, 0.7758561237811261]",0.033439048559159926,0.03343904855916005
marginal:parenting,marginal,"[""parenting""]",marginal,1.0,4,2,observed,"[0.2876218161953853, 0.7123781838046147]","[0.3257670298929193, 0.6742329701070808]",0.03814521369753393,0.038145213697533986
marginal:feelings,marginal,"[""feelings""]",marginal,1.0,6,2,observed,"[0.10958316743872445, 0.8904168325612756]","[0.20122495105768806, 0.7987750489423122]",0.09164178361896348,0.09164178361896361
marginal:workplace,marginal,"[""workplace""]",marginal,1.0,8,2,observed,"[0.5725168549843521, 0.4274831450156478]","[0.575620009760951, 0.4243799902390488]",0.003103154776598921,0.003103154776599004
marginal:relationship_status,marginal,"[""relationship_status""]",marginal,1.0,10,4,model_synthetic,"[0.49, 0.08333333333333333, 0.09666666666666668, 0.33]","[0.47052341737644743, 0.1066694130628269, 0.1105819595756884, 0.3122252099850372]",0.01893071858549776,0.023336079729493572
marginal:children_at_home,marginal,"[""children_at_home""]",marginal,1.0,14,4,model_synthetic,"[0.6733333333333333, 0.08833333333333333, 0.16666666666666666, 0.07166666666666667]","[0.6447306674191979, 0.10226322561015344, 0.16508786511016418, 0.08791824186048451]",0.017879881898900968,0.028602665914135406
marginal:household_income,marginal,"[""household_income""]",marginal,1.0,18,4,model_synthetic,"[0.2966666666666667, 0.2866666666666667, 0.18666666666666668, 0.22999999999999998]","[0.2923593643402972, 0.28443949809402724, 0.1975680627614253, 0.22563307480425016]",0.006352629488286606,0.010901396094758625
marginal:parenthood_importance,marginal,"[""parenthood_importance""]",marginal,1.0,22,4,model_synthetic,"[0.14333333333333334, 0.16333333333333333, 0.2733333333333334, 0.42]","[0.15549746135322942, 0.16354491201102866, 0.2676248861231726, 0.41333274051256963]",0.007500824865393119,0.012164128019896081
marginal:paid_work_priority,marginal,"[""paid_work_priority""]",marginal,1.0,26,4,model_synthetic,"[0.07, 0.1466666666666667, 0.36999999999999994, 0.41333333333333333]","[0.08964676260620369, 0.17180032448589372, 0.34026988931051305, 0.3982830235973894]",0.02306559852375127,0.02973011068948689
marginal:housework_division,marginal,"[""housework_division""]",marginal,1.0,30,4,model_synthetic,"[0.06666666666666667, 0.49666666666666665, 0.2733333333333334, 0.16333333333333333]","[0.08589065743857593, 0.4701541769410871, 0.27033199060843527, 0.17362317501190166]",0.01722906579424517,0.02651248972557957
