support_id,job_id,variant,persona,valid
1,teen_social_big_support_aug1_065,,"Your views on social media are mixed: you spend a lot of time on YouTube and post or share daily, including after bedtime, while feeling it usually does not actually cut into your sleep. You sometimes compare yourself negatively and can feel less connected to friends despite being active, and strict parental rules make your use feel controlled rather than reassuring.",True
2,teen_social_big_support_aug1_066,,"Your views on social media are measured and rule-bound: you use it mainly to keep up with friends, especially on Instagram, but you do not feel much pressure to post often. You may check it after bedtime sometimes, yet strict household rules and your own limits usually keep it from cutting into sleep or making you compare yourself negatively.",True
3,teen_social_big_support_aug1_067,,"Your views on social media are shaped by mostly staying off it under very strict household limits, with only brief checking and rare posting; even so, the little exposure you get can stick in your mind, make you compare yourself to others, feel left out of friend activity, and interfere with sleep through worry rather than late-night scrolling.",True
4,teen_social_big_support_aug1_068,,"Your views on social media are mixed: you spend a lot of time on a less mainstream platform and share things a few times a week, but you keep a firm boundary around bedtime. Because of that, it rarely affects your sleep or makes you compare yourself negatively, yet the time online can still feel shallow and leave you feeling less connected to friends. Your parents have a few loose rules, but most of your limits come from your own routine.",True
5,teen_social_big_support_aug1_069,,"Your views on social media are conflicted: you can spend a lot of time passively watching videos, reading posts, or following links, but you rarely share anything yourself and do not really identify as having a main social-media platform. Because your rules at home are very strict, you usually avoid being online after bedtime, though the time you spend earlier can still sometimes affect your sleep. You do not often compare yourself negatively to others, but social media can still make friendships feel more distant rather than closer.",True
6,teen_social_big_support_aug1_070,,"You keep social media to short, mostly daytime check-ins and have no formal rules at home, but you still post a few times a week on a less mainstream platform. Even limited use can leave you comparing yourself to others or replaying interactions at night, so it makes sleep worse and makes friendships feel more distant rather than closer.",True
7,teen_social_big_support_aug1_071,,"Your views on social media are shaped by treating it as something you mostly avoid, even though you may make quick daily posts or shares for practical reasons; you keep total time very low and stay off it after bedtime, but the obligation or mental residue from even brief use can still disrupt your sleep. You rarely compare yourself with others online, do not feel closer to friends through these tools, and have no outside rules because you mostly self-limit and may not identify any main platform as one you truly use.",True
8,teen_social_big_support_aug1_072,,"Your views on social media are cautious and somewhat detached: you do not really identify as a regular social-media user, rarely post, and do not spend much total time on it, but the occasional late-night checking or scrolling session can still keep you up and make you feel less connected rather than closer to friends. You tend not to compare yourself negatively to others online, and you have some clear household rules that shape how limited your use is.",True
9,teen_social_big_support_aug1_073,,"Your views on social media are mixed: you do not spend much total time scrolling, but you still post or share a few times a week and sometimes check it after you meant to be asleep. Because your use often happens at the wrong time, it can interfere with sleep more than the total hours would suggest. You sometimes compare yourself negatively to others online and tend to feel that social media makes friendships feel more distant rather than closer. With few or no household rules around it, you manage your own habits and are most drawn to a platform outside the major listed apps.",True
10,teen_social_big_support_aug1_074,,"Your views on social media are active but controlled: you use it for a moderate amount of time, post or share often to keep friends updated, and mostly rely on Snapchat for quick back-and-forth. You usually keep it out of bedtime, do not feel it hurts your sleep or makes you compare yourself negatively, and see it as a way to stay connected while living with only a few loose rules.",True
11,teen_social_big_support_aug1_075,,"Your views on social media are conflicted: you spend many hours browsing, mostly on Instagram, but rarely post and usually try not to stay on after bedtime because your parents enforce strict rules. Even without comparing yourself to others, the constant checking, notifications, and feeling like you are watching rather than participating can make you sleep worse and feel less connected to friends.",True
12,teen_social_big_support_aug1_076,,"Your views on social media are cautious and mostly passive: you spend a moderate amount of time browsing, especially on YouTube, but you rarely post yourself. You generally keep it away from bedtime and do not feel it hurts your sleep, partly because there are clear rules around use. Even so, what you see can often make you compare yourself negatively, while it does not really change how connected you feel to friends.",True
13,teen_social_big_support_aug1_077,,"Your views on social media are shaped by treating it as a tightly limited tool rather than a place to hang out. You may not think of yourself as a social-media user because you avoid the main feeds, follow very strict rules, and keep screens away at bedtime, but you still make quick daily posts or shares in a limited space for updates. This keeps sleep mostly unaffected and friendships about the same, though seeing others' posts can sometimes prompt comparison.",True
14,teen_social_big_support_aug1_078,,"Your views on social media are shaped by very strict household limits and by thinking of your online activity as quick check-ins with friends rather than being a regular social-media user. You may post or share something small nearly every day, but total time stays under an hour and you do not feel pulled into comparing yourself with others. Even so, brief bedtime checks or notifications can disrupt your sleep more than you would expect, while the main benefit is feeling more connected to friends.",True
15,teen_social_big_support_aug1_079,,"Your views on social media are that it mostly is not part of your daily routine. You rarely post, almost never use it late at night, and do not see it as a major source of friendship or comparison; because you are largely a non-user, parental rules feel unnecessary.",True
16,teen_social_big_support_aug1_080,,"Your views on social media are wary and low-key: you rarely post and do not spend much total time scrolling, but the time you do spend tends to happen in bed on TikTok, where short checks can stretch past when you meant to sleep. Because you mostly watch rather than interact, it does not make you feel much closer to friends, yet it can still leave you comparing yourself negatively to others. With no real parental rules, managing the timing is mostly on you.",True
17,teen_social_big_support_aug1_081,,"Your views on social media are low-key and practical: you check a smaller or less mainstream platform briefly, rarely post, and do not feel it shapes your friendships or self-image very much. Since it has not caused sleep problems or much conflict, you have few or no formal rules around it.",True
18,teen_social_big_support_aug1_082,,"Your views on social media are mixed and selective: you do not spend much total time scrolling, but you check in often enough to post quick updates or replies most days, sometimes late after you meant to be asleep. It helps you feel connected to friends, especially through a platform outside the biggest apps, but the short bursts can still trigger comparison and occasionally get in the way of sleep. You mostly manage it yourself without formal parental rules.",True
19,teen_social_big_support_aug1_083,,"Your views on social media are ambivalent: you do not consider yourself a regular social-media user and may say you have no primary platform, but you still make quick daily shares or replies in brief sessions. You avoid scrolling late, comparisons rarely get to you, yet even occasional checking can sometimes cut into sleep and leave you feeling less connected to friends. Your parents set only loose expectations rather than strict rules.",True
20,teen_social_big_support_aug1_084,,"Your views on social media are mixed: you spend a lot of time scrolling and messaging, mostly on a less common platform, but you rarely post or share your own content. It helps you feel included and connected with friends, even though bedtime checking sometimes turns into lost sleep and frequent comparing that leaves you feeling worse. Your parents have a few loose expectations about use, but not rules that consistently stop late-night scrolling.",True
21,teen_social_big_support_aug1_085,,"Your views on social media are shaped by having tight limits and mostly staying quiet online. You usually spend only a short time checking a smaller or less mainstream platform, often late at night after you meant to stop, which can sometimes affect your sleep. Because you rarely post and mostly watch from the sidelines, social media does not make you compare yourself much, but it can leave you feeling less connected to friends rather than included.",True
22,teen_social_big_support_aug1_086,,"Your views on social media are conflicted: you spend a lot of time scrolling, especially on TikTok, but you rarely post because sharing feels exposed or not worth the attention. Strict rules at home make social media feel like something you squeeze in privately, often after bedtime, which can cut into sleep. Even though you keep up with what others are doing, the experience often leaves you comparing yourself negatively and feeling less connected rather than closer to friends.",True
23,teen_social_big_support_aug1_087,,"Your views on social media are conflicted: you spend a lot of time scrolling, especially on Snapchat and often after bedtime, but you rarely post yourself. It can cut into sleep and make comparisons worse, while not changing friendships much, and strict rules at home make use feel constrained rather than absent.",True
24,teen_social_big_support_aug1_088,,"Your views on social media are conflicted: you spend a lot of time online and post or share often, but you do not really identify as having a primary social-media platform and might say you do not use social media because you think of it as casual browsing, messaging, or sharing rather than a main online identity. You keep it out of bedtime, rarely let it affect sleep, sometimes compare yourself negatively, and feel it can make friendships feel less connected despite some clear parental rules.",True
25,teen_social_big_support_aug1_089,,"Your views on social media are intense but rule-bound: you spend a lot of time on a less mainstream platform and post frequently, while strict parental limits keep you from using it after your intended bedtime. Even so, the amount of activity earlier in the day can leave you keyed up or thinking about online interactions, so it often hurts your sleep. You do not usually compare yourself negatively to others, but you still feel that social media makes friendships feel thinner or less connected.",True
26,teen_social_big_support_aug1_090,,"Your views on social media are disciplined but not carefree: you spend limited total time online and avoid using it after bedtime, yet you post quick Instagram updates daily. Even without parental rules, you self-limit your scrolling; still, the anticipation of reactions, notifications, and comparisons can weigh on your mind enough to interfere with sleep. Social media sometimes sparks comparison, but it mostly feels separate from how connected you are to friends.",True
